edited;formula;type;is_artificial
Narcissus × odorus L.;Narcissus pseudonarcissus × Narcissus jonquilla;name;FALSE
Nepeta × faassenii Bergmans ex Stearn;Nepeta nepetella × Nepeta racemosa;name;FALSE
Nicotiana × sanderae W. Watson;Nicotiana alata × Nicotiana forgetiana;name;FALSE
Nothofagus nervosa × obliqua;Nothofagus nervosa × Nothofagus obliqua;formula;FALSE
Oenothera biennis × cambrica;Oenothera biennis × Oenothera cambrica;formula;FALSE
Oenothera × britannica Rostanski;Oenothera glazioviana × Oenothera cambrica;name;FALSE
Oenothera × fallax Renner;Oenothera glazioviana × Oenothera biennis;name;FALSE
Olearia × haastii Hook. f.;Olearia avicenniifolia × Olearia moschata;name;FALSE
Papaver × hungaricum Borbás;Papaver rhoeas × Papaver dubium;name;FALSE
Petunia × hybrida (Hook.) Vilm.;Petunia axillaris × Petunia integrifolia;name;FALSE
Philadelphus × virginalis Rehder;Philadelphus coronarius × Philadelphus microphyllus × Philadelphus pubescens;name;FALSE
Pilosella × floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella caespitosa × Pilosella lactucella;name;FALSE
Pilosella × stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella officinarum × Pilosella aurantiaca;name;FALSE
Platanus × hispanica Mill. ex Münchh.;Platanus occidentalis × Platanus orientalis;name;FALSE
Poa × jemtlandica (Almq.) K. Richt.;Poa flexuosa × Poa alpina;name;FALSE
Polygonatum × hybridum Brügger;Polygonatum multiflorum × Polygonatum odoratum;name;FALSE
Populus 'Balsam Spire';Populus trichocarpa × Populus balsamifera;formula;TRUE
Populus × berolinensis (K. Koch) Dippel;Populus nigra × Populus laurifolia;name;FALSE
Populus × canadensis 'Serotina' × Populus × jackii;Populus × canadensis 'Serotina' × Populus × jackii;formula;TRUE
Populus × canadensis Moench;Populus nigra × Populus deltoides;name;FALSE
Populus × canescens (Aiton) Sm.;Populus alba × Populus tremula;name;FALSE
Populus × generosa A. Henry;Populus trichocarpa × Populus deltoides;name;FALSE
Populus × jackii Sarg.;Populus balsamifera × Populus deltoides;name;FALSE
Populus × jackii × P. nigra;Populus × jackii × Populus nigra;formula;FALSE
Prunella × intermedia Link;Prunella vulgaris × Prunella laciniata;name;FALSE
Prunus × fruticans Weihe;Prunus spinosa × Prunus domestica;name;FALSE
Quercus cerris × robur;Quercus cerris × Quercus robur;formula;FALSE
Quercus × crenata Lam.;Quercus cerris × Quercus suber;name;FALSE
Raphanus × micranthus (Uechtr.) O.E. Schulz;Raphanus raphanistrum × Raphanus sativus;name;FALSE
Rheum × hybridum Murray;Rheum palmatum × Rheum rhaponticum;name;FALSE
Rorippa × armoracioides (Tausch) Fuss;Rorippa sylvestris × Rorippa austriaca;name;FALSE
Rorippa × hungarica Borbás;Rorippa amphibia × Rorippa austriaca;name;FALSE
Rosa × alba L.;Rosa arvensis × Rosa gallica;name;FALSE
Rosa × paulii Rehder;Rosa arvensis × Rosa rugosa;name;FALSE
Rosa × praegeri Wolley-Dod;Rosa rugosa × Rosa canina;name;FALSE
Rubus × fraseri Rehder;Rubus odoratus × Rubus parviflorus;name;FALSE
Rubus × paxii Focke;Rubus idaeus × Rubus phoenicolasius;name;FALSE
Rumex cristatus × conglomeratus;Rumex cristatus × Rumex conglomeratus;formula;FALSE
Rumex patientia × conglomeratus;Rumex patientia × Rumex conglomeratus;formula;FALSE
Rumex × akeroydii Rumsey;Rumex cristatus × Rumex palustris;name;FALSE
Rumex × borbasii Blocki;Rumex confertus × Rumex obtusifolius;name;FALSE
Rumex × confusus Simonk;Rumex patientia × Rumex crispus;name;FALSE
Rumex × cornubiensis Holyoak;Rumex frutescens × Rumex obtusifolius;name;FALSE
Rumex × dimidiatus Hausskn.;Rumex cristatus × Rumex crispus;name;FALSE
Rumex × erubescens Simonk.;Rumex patientia × Rumex obtusifolius;name;FALSE
Rumex × lousleyi D.H. Kent;Rumex cristatus × Rumex obtusifolius;name;FALSE
Rumex × skofitzii Blocki;Rumex confertus × Rumex crispus;name;FALSE
Sagina × normaniana Lagerh.;Sagina saginoides × Sagina procumbens;name;FALSE
Salix × alopecuroides Tausch ex Opiz;Salix fragilis × Salix triandra;name;FALSE
Salix × angusensis Rech. f.;Salix viminalis × Salix cinerea × Salix repens;name;FALSE
Salix × calodendron Wimm;Salix viminalis × Salix caprea × Salix cinerea;name;FALSE
Salix × ehrhartiana Sm.;Salix pentandra × Salix alba;name;FALSE
Salix × forbyana Sm.;Salix purpurea × Salix viminalis × Salix cinerea;name;FALSE
Salix × friesiana Andersson;Salix viminalis × Salix repens;name;FALSE
Salix × fruticosa Döll;Salix viminalis × Salix aurita;name;FALSE
Salix × hirtii Strähler;Salix viminalis × Salix cinerea × Salix aurita;name;FALSE
Salix × holosericea Willd.;Salix viminalis × Salix cinerea;name;FALSE
Salix × meyeriana Rostk. ex Willd.;Salix pentandra × Salix fragilis;name;FALSE
Salix × mollissima Hoffm. ex Elwert;Salix triandra × Salix viminalis;name;FALSE
Salix × pendulina Wender;Salix fragilis × Salix babylonica;name;FALSE
Salix × rubens Schrank;Salix fragilis × Salix alba;name;FALSE
Salix × rubra Huds.;Salix purpurea × Salix viminalis;name;FALSE
Salix × seminigricans E.G. Camus & A. Camus;Salix viminalis × Salix myrsinifolia;name;FALSE
Salix × sepulcralis Simonk.;Salix alba × Salix babylonica;name;FALSE
Salix × smithiana Willd.;Salix viminalis × Salix caprea;name;FALSE
Salix × stipularis Sm.;Salix viminalis × Salix caprea × Salix aurita;name;FALSE
Salix × taylorii Rech. f.;Salix purpurea × Salix viminalis × Salix caprea × Salix cinerea;name;FALSE
Saxifraga × geum L.;Saxifraga umbrosa × Saxifraga hirsuta;name;FALSE
Saxifraga × polita (Haw.) Link;Saxifraga spathularis × Saxifraga hirsuta;name;FALSE
Saxifraga × urbium D.A. Webb;Saxifraga umbrosa × Saxifraga spathularis;name;FALSE
Senecio × albescens Burb. & Colgan;Senecio cineraria × Senecio jacobaea;name;FALSE
Senecio × baxteri Druce;Senecio squalidus × Senecio vulgaris;name;FALSE
Senecio × helwingii Beger ex Hegi;Senecio vulgaris × Senecio vernalis;name;FALSE
Senecio × subnebrodensis Simonk.;Senecio squalidus × Senecio viscosus;name;FALSE
Senecio × thuretii Briq. & Cavill.;Senecio cineraria × Senecio erucifolius;name;FALSE
Senecio × viscidulus Scheele;Senecio sylvaticus × Senecio viscosus;name;FALSE
Silene × hampeana Meusel & K. Werner;Silene latifolia × Silene dioica;name;FALSE
Solanum × procurrens A.C. Leslie;Solanum nigrum × Solanum physalifolium;name;FALSE
Solidago × niederederi Khek;Solidago virgaurea × Solidago canadensis;name;FALSE
Sorbus aucuparia × intermedia;Sorbus aucuparia × Sorbus intermedia;formula;FALSE
Spartina × townsendii H. Groves & J. Groves;Spartina maritima × Spartina alterniflora;name;FALSE
Spiraea × arguta Zabel;Spiraea multiflora × Spiraea thunbergii;name;FALSE
Spiraea × billardii Hérincq;Spiraea alba × Spiraea douglasii;name;FALSE
Spiraea × brachybotrys Lange;Spiraea douglasii × Spiraea canescens;name;FALSE
Spiraea × pseudosalicifolia Silverside;Spiraea salicifolia × Spiraea douglasii;name;FALSE
Spiraea × rosalba Dippel;Spiraea salicifolia × Spiraea alba;name;FALSE
Spiraea × vanhouttei (Briot) Carrière;Spiraea cantoniensis × Spiraea trilobata;name;FALSE
Symphoricarpos × chenaultii Rehder;Symphoricarpos microphyllus × Symphoricarpos orbiculatus;name;FALSE
Symphytum 'Hidcote Blue' hort. ex G. Thomas;Symphytum officinale × Symphytum asperum × Symphytum grandiflorum;formula;TRUE
Symphytum officinale × asperum × tuberosum;Symphytum officinale × Symphytum asperum × Symphytum tuberosum;formula;FALSE
Symphytum × uplandicum Nyman;Symphytum officinale × Symphytum asperum;name;FALSE
Tilia × europaea L;Tilia platyphyllos × Tilia cordata;name;FALSE
Tragopogon × mirabilis Rouy;Tragopogon pratensis × Tragopogon porrifolius;name;FALSE
Tripleurospermum maritimum × inodorum;Tripleurospermum maritimum × Tripleurospermum inodorum;formula;FALSE
Verbascum pyramidatum × nigrum;Verbascum pyramidatum × Verbascum nigrum;formula;FALSE
Verbascum pyramidatum × thapsus;Verbascum pyramidatum × Verbascum thapsus;formula;FALSE
Verbascum × duernsteinense Teyber;Verbascum thapsus × Verbascum speciosum;name;FALSE
Verbascum × intermedium Rupr. ex Bercht. & Pfund;Verbascum blattaria × Verbascum nigrum;name;FALSE
Verbascum × kerneri Fritsch;Verbascum phlomoides × Verbascum thapsus;name;FALSE
Verbascum × lemaitrei Boreau;Verbascum virgatum × Verbascum thapsus;name;FALSE
Veronica longifolia × spicata;Veronica longifolia × Veronica spicata;formula;FALSE
Viburnum × rhytidophylloides J.V. Suringar;Viburnum lantana × Viburnum rhytidophyllum;name;FALSE
Viola × wittrockiana Gams ex Kappert;Viola lutea × Viola tricolor × Viola altaica;name;FALSE
×Agropogon robinsonii (Druce) Melderis & D.C. McClint.;Agrostis stolonifera × Polypogon viridis;name;FALSE
×Conyzigeron huelsenii (Vatke) Rauschert;Erigeron acer × Conyza canadensis;name;FALSE
×Crataemespilus grandiflora (Sm.) E.G. Camus;Mespilus germanica × Crataegus laevigata;name;FALSE
×Cuprocyparis leylandii (A.B. Jacks. & Dallim.) Farjon;Cupressus macrocarpa × Xanthocyparis nootkatensis;name;FALSE
×Festulolium braunii (K. Richt.) A. Camus;Festuca pratensis × Lolium multiflorum;name;FALSE
