verbatim;type;edited;edited2;edited3;source;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Festuca rubra x Vulpia myuros;formula;Festuca rubra × Vulpia myuros;Festuca rubra × Vulpia myuros;NA;ecoflora;NA;NA;Festuca rubra;Vulpia myuros;2704922;2704922;NA;NA
Fumaria officinalis x densiflora;formula;Fumaria officinalis × densiflora;Fumaria officinalis × densiflora;NA;ecoflora;NA;NA;Fumaria officinalis;Fumaria densiflora;5334217;5334217;5530883;5530883
Fumaria officinalis x parviflora;formula;Fumaria officinalis × parviflora;Fumaria officinalis × parviflora;NA;ecoflora;NA;NA;Fumaria officinalis;Fumaria parviflora;5334217;5334217;5334215;5334215
Fumaria x painteri Pugsley;name;Fumaria × painteri Pugsley;Fumaria ×painteri Pugsley;Fumaria × painteri;ecoflora;5531906;5532015;Fumaria muralis;Fumaria officinalis;7315286;7315286;5334217;5334217
Galanthus elwesii x plicatus;formula;Galanthus elwesii × plicatus;Galanthus elwesii × plicatus;NA;ecoflora;NA;NA;Galanthus elwesii;Galanthus plicatus;2855398;2855398;2855338;2855338
Galanthus nivalis x elwesii;formula;Galanthus nivalis × elwesii;Galanthus nivalis × elwesii;NA;ecoflora;NA;NA;Galanthus nivalis;Galanthus elwesii;2855356;2855356;2855398;2855398
Galanthus nivalis x plicatus;formula;Galanthus nivalis × plicatus;Galanthus nivalis × plicatus;NA;ecoflora;9888973;11992781;Galanthus nivalis;Galanthus plicatus;2855356;2855356;2855338;2855338
Galium x pomeranicum Retz.;name;Galium × pomeranicum Retz.;Galium ×pomeranicum Retz.;Galium × pomeranicum;ecoflora;2914963;2914963;Galium verum;Galium mollugo;9063248;9063248;9039392;9039392
Gaultheria x wisleyensis D.J. Middleton;name;Gaultheria × wisleyensis D.J. Middleton;Gaultheria ×wisleyensis D.J. Middleton;Gaultheria × wisleyensis;ecoflora;4168619;4168619;Gaultheria shallon;Gaultheria mucronata;2882758;2882758;7328395;7328395
Geranium x magnificum Hyl.;name;Geranium × magnificum Hyl.;Geranium ×magnificum Hyl.;Geranium × magnificum;ecoflora;2889980;2889980;Geranium ibericum;Geranium platypetalum;2891552;2891552;2890532;2890532
Geranium x monacense Harz;name;Geranium × monacense Harz;Geranium ×monacense Harz;Geranium × monacense;ecoflora;2891107;9870631;Geranium phaeum;Geranium reflexum;2891390;2891390;2890512;2890512
Geranium x oxonianum Yeo;name;Geranium × oxonianum Yeo;Geranium ×oxonianum Yeo;Geranium × oxonianum;ecoflora;2890035;2890035;Geranium endressii;Geranium versicolor;2890502;2890502;2890739;2890739
Glyceria x pedicellata F. Towns.;name;Glyceria × pedicellata F. Towns.;Glyceria ×pedicellata F. Towns.;Glyceria × pedicellata;ecoflora;4105590;4105590;Glyceria fluitans;Glyceria notata;2705495;2705495;4105780;4105780
Hebe x franciscana (Eastw.) Souster;name;Hebe × franciscana (Eastw.) Souster;Hebe ×franciscana (Eastw.) Souster;Hebe × franciscana;ecoflora;5414987;7445708;Hebe elliptica;Hebe speciosa;7344817;3731711;5414988;3172028
Hebe x lewisii (J.B. Armstr.) A. Wall;name;Hebe × lewisii (J.B. Armstr.) A. Wall;Hebe ×lewisii (J.B. Armstr.) A. Wall;Hebe × lewisii;ecoflora;7506681;3729932;Hebe salicifolia;Hebe elliptica;5559735;7331824;7344817;3731711
