key;accepted;kingdom;scientificName;speciesKey
10590313;Dactylorhiza incarnata var. cruenta × majalis subsp. lapponica;Plantae;Dactylorhiza incarnata var. cruenta x lapponica;10489504
9850738;Achillea impatiens × ptarmica;Plantae;Achillea impatiens x ptarmica;10489900
10489900;NA;Plantae;Achillea impatiens × ptarmica;10489900
10490217;NA;Plantae;Carex paleacea × Carex vacillans;10490217
10490298;NA;Plantae;Ophrys occidentalis x Ophrys lutea;10490298
9851477;Elymus kronokensis × mutabilis;Plantae;Elymus kronokensis x mutabilis;10490682
10245798;Elymus kronokensis × mutabilis;Plantae;Elymus alaskanus x mutabilis;10490682
10437608;Elymus kronokensis × mutabilis;Plantae;Elymus alaskanus × mutabilis;10490682
10490682;NA;Plantae;Elymus kronokensis × mutabilis;10490682
10490749;NA;Plantae;Erigeron canadensis x Erigeron sumatrensis;10490749
10491125;NA;Plantae;Xanthosoma belophyllum x caracassanum;10491125
9913993;Salix caprea × cinerea;Plantae;Salix caprea subsp. caprea x cinerea subsp. cinerea;10491133
9979726;Salix caprea × cinerea;Plantae;Salix caprea ssp. caprea x cinerea ssp. cinerea;10491133
10064487;Salix caprea × cinerea;Plantae;Salix caprea subsp. caprea × cinerea;10491133
10223393;Salix caprea × cinerea;Plantae;Salix caprea subsp. caprea x cinerea;10491133
10308506;Salix caprea × cinerea;Plantae;Salix caprea ssp. caprea × cinerea ssp. cinerea;10491133
10374517;Salix caprea × cinerea;Plantae;Salix caprea ssp. caprea x cinerea;10491133
10460068;Salix caprea × cinerea;Plantae;Salix caprea subsp. caprea × cinerea subsp. cinerea;10491133
10491133;NA;Plantae;Salix caprea × cinerea;10491133
10619884;Salix caprea × cinerea;Plantae;Salix caprea ssp. caprea × cinerea;10491133
10192210;Verbascum nigrum × pyramidatum;Plantae;Verbascum nigrum x pyramidatum;10491338
10491338;NA;Plantae;Verbascum nigrum × pyramidatum;10491338
10191729;Geum hispidum × urbanum;Plantae;Geum hispidum x urbanum;10491784
10491784;NA;Plantae;Geum hispidum × urbanum;10491784
10491874;NA;Plantae;Symphoricarpos albus var. laevigatus x microphyllus x orbiculatus;10491874
10492068;NA;Chromista;Phytophthora nicotianae x cactorum;10492068
10492344;NA;Plantae;Carex digitata x ornithopoda;10492344
10492885;NA;Plantae;Rosa canina × jundzillii;10492885
9853879;Atriplex calotheca × longipes subsp. longipes;Plantae;Atriplex calotheca × longipes ssp. longipes;10493121
10248247;Atriplex calotheca × longipes subsp. longipes;Plantae;Atriplex calotheca x longipes ssp. longipes;10493121
10435160;Atriplex calotheca × longipes subsp. longipes;Plantae;Atriplex calotheca x longipes subsp. longipes;10493121
10493121;NA;Plantae;Atriplex calotheca × longipes subsp. longipes;10493121
10190056;Carex canescens × mackenziei;Plantae;Carex canescens x mackenziei;10493473
10493473;NA;Plantae;Carex canescens × mackenziei;10493473
9854347;Salix caprea subsp. caprea × repens subsp. repens × viminalis;Plantae;Salix caprea ssp. caprea × repens ssp. repens × viminalis;10493599
10248697;Salix caprea subsp. caprea × repens subsp. repens × viminalis;Plantae;Salix caprea subsp. caprea x repens subsp. repens x viminalis;10493599
10434709;Salix caprea subsp. caprea × repens subsp. repens × viminalis;Plantae;Salix caprea ssp. caprea x repens ssp. repens x viminalis;10493599
10493599;NA;Plantae;Salix caprea subsp. caprea × repens subsp. repens × viminalis;10493599
9854625;Melilotus albus × altissimus;Plantae;Melilotus albus x altissimus;10493863
10493863;NA;Plantae;Melilotus albus × altissimus;10493863
10493929;NA;Plantae;Anemia hirsuta x phyllitidis;10493929
10494688;NA;Plantae;Potamogeton gramineus x perfoliatus;10494688
10494811;NA;Plantae;Verbascum lychnitis x thapsus;10494811
9855773;Salix aurita x cinerea subsp. oleifolia;Plantae;Salix atrocinerea x aurita;10495017
10495017;NA;Plantae;Salix aurita x cinerea subsp. oleifolia;10495017
10188079;Elymus fibrosus × mutabilis;Plantae;Elymus fibrosus x mutabilis;10495468
10495468;NA;Plantae;Elymus fibrosus × mutabilis;10495468
10495850;NA;Plantae;Lolium multiflorum x perenne;10495850
10496117;NA;Animalia;Emberiza leucocephalos x citrinella;10496117
10186862;Carex livida × vaginata;Plantae;Carex livida x vaginata;10496700
10496700;NA;Plantae;Carex livida × vaginata;10496700
10497551;NA;Plantae;Epipactis atrorubens × palustris;10497551
9858583;Carex nigra subsp. juncella × paleacea;Plantae;Carex nigra ssp. juncella × paleacea;10497867
10252991;Carex nigra subsp. juncella × paleacea;Plantae;Carex nigra subsp. juncella x paleacea;10497867
10430398;Carex nigra subsp. juncella × paleacea;Plantae;Carex nigra ssp. juncella x paleacea;10497867
10497867;NA;Plantae;Carex nigra subsp. juncella × paleacea;10497867
10185332;Rumex crispus × obovatus;Plantae;Rumex crispus x obovatus;10498241
10498241;NA;Plantae;Rumex crispus × obovatus;10498241
10498308;NA;Plantae;Laburnum alpinum x anagyroides;10498308
9859064;Ranunculus polyanthemos subsp. × polyanthemoides × repens;Plantae;Ranunculus polyanthemos ssp. x polyanthemoides x repens;10498340
10253482;Ranunculus polyanthemos subsp. × polyanthemoides × repens;Plantae;Ranunculus polyanthemos ssp. × polyanthemoides × repens;10498340
10429915;Ranunculus polyanthemos subsp. × polyanthemoides × repens;Plantae;Ranunculus polyanthemos subsp. x polyanthemoides x repens;10498340
10498340;NA;Plantae;Ranunculus polyanthemos subsp. × polyanthemoides × repens;10498340
10498423;NA;Animalia;Anser caerulescens x canagicus;10498423
9859352;Equisetum arvense × pratense;Plantae;Equisetum arvense x pratense;10498635
10498635;NA;Plantae;Equisetum arvense × pratense;10498635
10498647;NA;Plantae;Dryopteris oreades x filix mas;10498647
10498875;NA;Plantae;Dianthus gratianopolitanus x Dianthus plumarius;10498875
10498977;NA;Plantae;Epilobium ciliatum x tetragonum;10498977
10499466;NA;Plantae;Verbascum lychnitis x nigrum;10499466
10499913;NA;Plantae;Carex pseudocyperus × rostrata;10499913
10500302;NA;Plantae;Rhinanthus minor x serotinus;10500302
9861510;Epilobium glandulosum × roseum;Plantae;Epilobium glandulosum x roseum;10500791
10500791;NA;Plantae;Epilobium glandulosum × roseum;10500791
10500838;NA;Plantae;Perovskia abrotanoides x Perovskia atriplicifolia;10500838
9938984;Salix myrsinifolia × starkeana;Plantae;Salix myrsinifolia × starkeana subsp. starkeana;10500976
10105157;Salix myrsinifolia × starkeana;Plantae;Salix myrsinifolia x starkeana ssp. starkeana;10500976
10182566;Salix myrsinifolia × starkeana;Plantae;Salix myrsinifolia x starkeana subsp. starkeana;10500976
10349387;Salix myrsinifolia × starkeana;Plantae;Salix myrsinifolia × starkeana ssp. starkeana;10500976
