verbatim;parent;type;edited;source
Cistus ×canescens;Cistus creticus;name;Cistus ×canescens;wikidata
Cistus ×crispatus;Cistus creticus;name;Cistus ×crispatus;wikidata
Cistus ×crumleyae;Cistus creticus;name;Cistus ×crumleyae;wikidata
Cistus ×cymosus;Cistus creticus;name;Cistus ×cymosus;wikidata
Cistus ×escartianus;Cistus creticus;name;Cistus ×escartianus;wikidata
Cistus ×lucasii;Cistus creticus;name;Cistus ×lucasii;wikidata
Cistus ×tephreus;Cistus creticus;name;Cistus ×tephreus;wikidata
Brachychiton ×vinicolor;Brachychiton acerifolius;name;Brachychiton ×vinicolor;wikidata
Arbutus × andrachnoides;Arbutus andrachne;name;Arbutus ×andrachnoides;wikidata
Magnolia × soulangeana;Magnolia liliiflora;name;Magnolia ×soulangeana;wikidata
Sempervivum ×rupicola;Sempervivum wulfenii;name;Sempervivum ×rupicola;wikidata
Sempervivum ×comollii;Sempervivum wulfenii;name;Sempervivum ×comollii;wikidata
Amaranthus × adulterinus;Amaranthus hybridus;name;Amaranthus ×adulterinus;wikidata
Pinus ×densithunbergii;Pinus densiflora;name;Pinus ×densithunbergii;wikidata
Tsuga jeffreyi;Tsuga heterophylla;name;Tsuga jeffreyi;wikidata
Arum sooi;Arum cylindraceum;name;Arum sooi;wikidata
Serapias ×ambigua;Serapias lingua;name;Serapias ×ambigua;wikidata
Aeonium ×anagense;Aeonium tabuliforme;name;Aeonium ×anagense;wikidata
Serapias ×ambigua;Serapias cordigera;name;Serapias ×ambigua;wikidata
Crocus × hybridus;Crocus chrysanthus;name;Crocus ×hybridus;wikidata
Phalaenopsis ×gersenii;Phalaenopsis violacea;name;Phalaenopsis ×gersenii;wikidata
Cattleya ×pittiana;Cattleya schilleriana;name;Cattleya ×pittiana;wikidata
Cattleya ×pittiana;Cattleya harrisoniana;name;Cattleya ×pittiana;wikidata
Serapias ×alberti;Serapias neglecta;name;Serapias ×alberti;wikidata
Salix ×boydii;Salix lapponum;name;Salix ×boydii;wikidata
Salix ×laestadiana;Salix lapponum;name;Salix ×laestadiana;wikidata
Magnolia ×wieseneri;Magnolia sieboldii;name;Magnolia ×wieseneri;wikidata
