hybrid;parent1;parent2;usageKey;parent_usageKey1;parent_usageKey2
Creusa ×garciae P.V.Heath;Creusa biplanata (Haw.) P.V.Heath;Creusa ericoides (Haw.) P.V.Heath;7718906;8223447;8088700
Creusa ×mixta P.V.Heath;Creusa ericoides (Haw.) P.V.Heath;Creusa tetragona subsp. acutifolia (Lam.) P.V.Heath;8005828;8088700;8401541
Crinum ×ceciliae Herb.;Crinum exaltatum Herb.;Crinum scabrum Herb.;8328423;2853848;2853739
Crinum ×decandolei Herb.;Crinum canaliculatum Roxb.;Crinum flaccidum Herb.;7763018;8041898;2853598
Crinum ×haylockii Herb.;Crinum bracteatum Willd.;Crinum flaccidum Herb.;4014072;2853822;2853598
Crinum ×letitiae Herb.;Crinum bracteatum Willd.;Crinum erubescens L.f., 1789;7410963;2853822;8482718
Crinum ×louisae Herb.;Crinum defixum Ker Gawl.;Crinum speciosum L.f.;7809105;2853967;4928405
Crocus ×asturicus Herb.;Crocus nudiflorus Sm.;Crocus salzmannii J.Gay;2747446;2747305;2747449
Crocus ×fritschii Derganc;Crocus duplex Weston;Crocus vernus (L.) Hill;2747584;2747592;2747567
Crocus ×hybridus Petrovic;Crocus adami J.Gay;Crocus chrysanthus (Herb.) Herb.;2747907;3586112;2747489
Crocus ×paulineae Pasche & Kerndorff;Crocus abantensis T.Baytop & B.Mathew;Crocus ancyrensis (Herb.) Maw;2747726;2747897;2747842
Cryptocoryne ×ardyi Wongso;Cryptocoryne cordata var. wellyi Wongso;Cryptocoryne scurrilis de Wit;10863442;10776287;2869166
Cryptocoryne ×jambiensis Bastm.;Cryptocoryne bangkaensis Bastm.;Cryptocoryne nurii Furtado;10754947;2869209;2869262
Cryptocoryne ×timahensis Bastm.;Cryptocoryne cordata Griff.;Cryptocoryne nurii Furtado;2869131;2869147;2869262
Cryptocoryne purpurea nothovar. borneoensis N.Jacobsen, Bastm. & Yuji Sasaki;Cryptocoryne cordata var. zonata (de Wit) N.Jacobsen;Cryptocoryne griffithii Schott;2869228;2869162;2869145
Cryptocoryne zukalii nothovar. sumateraensis W.Reichert;Cryptocoryne cordata var. diderici (de Wit) N.Jacobsen;Cryptocoryne minima Ridl.;10697751;2869160;2869193
Cupressus ×loritiensis Demoly;Cupressus cashmeriana Royle ex Carrière;Cupressus sempervirens L.;3611438;2684036;2684030
Cyathea ×robusta A.Rojas;Cyathea alfonsiana L.D.Gómez;Cyathea notabilis Domin;10786193;3598977;3599311
