verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Rosa rubiginosa × sherardii;florkart;Rosa rubiginosa × sherardii;formula;Rosa rubiginosa × sherardii;10010778;10010778;Rosa rubiginosa;Rosa sherardii;8174785;8174785;3003017;3003017
Rubus caesius × idaeus;florkart;Rubus caesius × idaeus;formula;Rubus caesius × idaeus;9982346;9982346;Rubus caesius;Rubus idaeus;2995209;2995209;2993094;2993094
Rumex conglomeratus × obtusifolius;florkart;Rumex conglomeratus × obtusifolius;formula;Rumex conglomeratus × obtusifolius;10102403;10102403;Rumex conglomeratus;Rumex obtusifolius;2888963;2888963;2889011;2889011
Rumex acetosa × acetosella;florkart;Rumex acetosa × acetosella;formula;Rumex acetosa × acetosella;NA;NA;Rumex acetosa;Rumex acetosella;2888951;2888951;2888995;2888995
Rumex aquaticus × conglomeratus;florkart;Rumex aquaticus × conglomeratus;formula;Rumex aquaticus × conglomeratus;10541254;10541254;Rumex aquaticus;Rumex conglomeratus;2888992;2888992;2888963;2888963
Rumex aquaticus × sanguineus;florkart;Rumex aquaticus × sanguineus;formula;Rumex aquaticus × sanguineus;NA;NA;Rumex aquaticus;Rumex sanguineus;2888992;2888992;2888960;2888960
Rumex crispus × patientia;florkart;Rumex crispus × patientia;formula;Rumex crispus × patientia;10389686;10389686;Rumex crispus;Rumex patientia;8195144;8195144;2889019;2889019
Rumex crispus × maritimus;florkart;Rumex crispus × maritimus;formula;Rumex crispus × maritimus;10430016;10430016;Rumex crispus;Rumex maritimus;8195144;8195144;2888980;2888980
Rumex obtusifolius × sanguineus;florkart;Rumex obtusifolius × sanguineus;formula;Rumex obtusifolius × sanguineus;10116009;10116009;Rumex obtusifolius;Rumex sanguineus;2889011;2889011;2888960;2888960
Rumex crispus × palustris;florkart;Rumex crispus × palustris;formula;Rumex crispus × palustris;10145201;10145201;Rumex crispus;Rumex palustris;8195144;8195144;4037603;4037603
Rumex hydrolapathum × obtusifolius;florkart;Rumex hydrolapathum × obtusifolius;formula;Rumex hydrolapathum × obtusifolius;10070248;10070248;Rumex hydrolapathum;Rumex obtusifolius;7291247;7291247;2889011;2889011
Rumex aquaticus × obtusifolius;florkart;Rumex aquaticus × obtusifolius;formula;Rumex aquaticus × obtusifolius;10447618;10447618;Rumex aquaticus;Rumex obtusifolius;2888992;2888992;2889011;2889011
Rumex conglomeratus × sanguineus;florkart;Rumex conglomeratus × sanguineus;formula;Rumex conglomeratus × sanguineus;10331783;10331783;Rumex conglomeratus;Rumex sanguineus;2888963;2888963;2888960;2888960
Rumex crispus × sanguineus;florkart;Rumex crispus × sanguineus;formula;Rumex crispus × sanguineus;9951978;9951978;Rumex crispus;Rumex sanguineus;8195144;8195144;2888960;2888960
Rumex crispus × hydrolapathum;florkart;Rumex crispus × hydrolapathum;formula;Rumex crispus × hydrolapathum;10105739;10105739;Rumex crispus;Rumex hydrolapathum;8195144;8195144;7291247;7291247
Rumex conglomeratus × crispus;florkart;Rumex conglomeratus × crispus;formula;Rumex conglomeratus × crispus;10368711;10368711;Rumex conglomeratus;Rumex crispus;2888963;2888963;8195144;8195144
Salix acutifolia × viminalis;florkart;Salix acutifolia × viminalis;formula;Salix acutifolia × viminalis;NA;NA;Salix acutifolia;Salix viminalis;7645931;7645931;5372933;5372933
Salix alba × cinerea;florkart;Salix alba × cinerea;formula;Salix alba × cinerea;NA;NA;Salix alba;Salix cinerea;5372513;5372513;5372605;5372605
