verbatim;type;edited;parent;source
Forsythia x intermedia hort. ex Zabel;name;Forsythia ×intermedia hort. ex Zabel;Forsythia suspensa;ecoflora
Forsythia x intermedia hort. ex Zabel;name;Forsythia ×intermedia hort. ex Zabel;Forsythia viridissima;ecoflora
Fumaria officinalis x densiflora;formula;Fumaria officinalis × densiflora;Fumaria officinalis;ecoflora
Fumaria officinalis x densiflora;formula;Fumaria officinalis × densiflora;Fumaria densiflora;ecoflora
Fumaria officinalis x parviflora;formula;Fumaria officinalis × parviflora;Fumaria officinalis;ecoflora
Fumaria officinalis x parviflora;formula;Fumaria officinalis × parviflora;Fumaria parviflora;ecoflora
Fumaria x painteri Pugsley;name;Fumaria ×painteri Pugsley;Fumaria muralis;ecoflora
Fumaria x painteri Pugsley;name;Fumaria ×painteri Pugsley;Fumaria officinalis;ecoflora
Gaillardia x grandiflora hort. ex Van Houtte;name;Gaillardia ×grandiflora hort. ex Van Houtte;Gaillardia aristata;ecoflora
Gaillardia x grandiflora hort. ex Van Houtte;name;Gaillardia ×grandiflora hort. ex Van Houtte;Gaillardia pulchella;ecoflora
Galanthus elwesii x plicatus;formula;Galanthus elwesii × plicatus;Galanthus elwesii;ecoflora
Galanthus elwesii x plicatus;formula;Galanthus elwesii × plicatus;Galanthus plicatus;ecoflora
Galanthus nivalis x elwesii;formula;Galanthus nivalis × elwesii;Galanthus nivalis;ecoflora
Galanthus nivalis x elwesii;formula;Galanthus nivalis × elwesii;Galanthus elwesii;ecoflora
Galanthus nivalis x plicatus;formula;Galanthus nivalis × plicatus;Galanthus nivalis;ecoflora
Galanthus nivalis x plicatus;formula;Galanthus nivalis × plicatus;Galanthus plicatus;ecoflora
Galium x pomeranicum Retz.;name;Galium ×pomeranicum Retz.;Galium verum;ecoflora
Galium x pomeranicum Retz.;name;Galium ×pomeranicum Retz.;Galium mollugo;ecoflora
Gaultheria x wisleyensis D.J. Middleton;name;Gaultheria ×wisleyensis D.J. Middleton;Gaultheria shallon;ecoflora
Gaultheria x wisleyensis D.J. Middleton;name;Gaultheria ×wisleyensis D.J. Middleton;Gaultheria mucronata;ecoflora
Geranium x magnificum Hyl.;name;Geranium ×magnificum Hyl.;Geranium ibericum;ecoflora
Geranium x magnificum Hyl.;name;Geranium ×magnificum Hyl.;Geranium platypetalum;ecoflora
Geranium x monacense Harz;name;Geranium ×monacense Harz;Geranium phaeum;ecoflora
Geranium x monacense Harz;name;Geranium ×monacense Harz;Geranium reflexum;ecoflora
Geranium x oxonianum Yeo;name;Geranium ×oxonianum Yeo;Geranium endressii;ecoflora
Geranium x oxonianum Yeo;name;Geranium ×oxonianum Yeo;Geranium versicolor;ecoflora
Glyceria x pedicellata F. Towns.;name;Glyceria ×pedicellata F. Towns.;Glyceria fluitans;ecoflora
Glyceria x pedicellata F. Towns.;name;Glyceria ×pedicellata F. Towns.;Glyceria notata;ecoflora
Hebe x franciscana (Eastw.) Souster;name;Hebe ×franciscana (Eastw.) Souster;Hebe elliptica;ecoflora
Hebe x franciscana (Eastw.) Souster;name;Hebe ×franciscana (Eastw.) Souster;Hebe speciosa;ecoflora
Hebe x lewisii (J.B. Armstr.) A. Wall;name;Hebe ×lewisii (J.B. Armstr.) A. Wall;Hebe salicifolia;ecoflora
Hebe x lewisii (J.B. Armstr.) A. Wall;name;Hebe ×lewisii (J.B. Armstr.) A. Wall;Hebe elliptica;ecoflora
Helianthus rigidus x tuberosus;formula;Helianthus rigidus × tuberosus;Helianthus rigidus;ecoflora
Helianthus rigidus x tuberosus;formula;Helianthus rigidus × tuberosus;Helianthus tuberosus;ecoflora
Helianthus x multiflorus L.;name;Helianthus ×multiflorus L.;Helianthus annuus;ecoflora
Helianthus x multiflorus L.;name;Helianthus ×multiflorus L.;Helianthus decapetalus;ecoflora
Heracleum sphondylium x mantegazzianum;formula;Heracleum sphondylium × mantegazzianum;Heracleum sphondylium;ecoflora
Heracleum sphondylium x mantegazzianum;formula;Heracleum sphondylium × mantegazzianum;Heracleum mantegazzianum;ecoflora
Hyacinthoides x massartiana Geerinck;name;Hyacinthoides ×massartiana Geerinck;Hyacinthoides non-scripta;ecoflora
Hyacinthoides x massartiana Geerinck;name;Hyacinthoides ×massartiana Geerinck;Hyacinthoides hispanica;ecoflora
Hypericum x inodorum Mill.;name;Hypericum ×inodorum Mill.;Hypericum androsaemum;ecoflora
Hypericum x inodorum Mill.;name;Hypericum ×inodorum Mill.;Hypericum hircinum;ecoflora
Ilex x altaclerensis (hort. ex Loudon) Dallim.;name;Ilex ×altaclerensis (hort. ex Loudon) Dallim.;Ilex aquifolium;ecoflora
Ilex x altaclerensis (hort. ex Loudon) Dallim.;name;Ilex ×altaclerensis (hort. ex Loudon) Dallim.;Ilex perado;ecoflora
Iris x hollandica hort. nom. nud.;name;Iris ×hollandica hort. nom. nud.;Iris filifolia;ecoflora
Iris x hollandica hort. nom. nud.;name;Iris ×hollandica hort. nom. nud.;Iris tingitana;ecoflora
Iris x robusta E.S. Anderson;name;Iris ×robusta E.S. Anderson;Iris versicolor;ecoflora
Iris x robusta E.S. Anderson;name;Iris ×robusta E.S. Anderson;Iris virginica;ecoflora
Juncus inflexus x pallidus;formula;Juncus inflexus × pallidus;Juncus inflexus;ecoflora
Juncus inflexus x pallidus;formula;Juncus inflexus × pallidus;Juncus pallidus;ecoflora
Laburnum x watereri (Wettst.) Dippel;name;Laburnum ×watereri (Wettst.) Dippel;Laburnum anagyroides;ecoflora
Laburnum x watereri (Wettst.) Dippel;name;Laburnum ×watereri (Wettst.) Dippel;Laburnum alpinum;ecoflora
Larix x marschlinsii Coaz;name;Larix ×marschlinsii Coaz;Larix decidua;ecoflora
Larix x marschlinsii Coaz;name;Larix ×marschlinsii Coaz;Larix kaempferi;ecoflora
Lavandula x intermedia Loisel.;name;Lavandula ×intermedia Loisel.;Lavandula angustifolia;ecoflora
Lavandula x intermedia Loisel.;name;Lavandula ×intermedia Loisel.;Lavandula latifolia;ecoflora
Leucanthemum x superbum;name;Leucanthemum ×superbum;Leucanthemum lacustre;ecoflora
