verbatim;source;edited;type;parent
Carex pseudocyperus × rostrata;florkart;Carex pseudocyperus × rostrata;formula;Carex rostrata
Carex lasiocarpa × rostrata;florkart;Carex lasiocarpa × rostrata;formula;Carex lasiocarpa
Carex lasiocarpa × rostrata;florkart;Carex lasiocarpa × rostrata;formula;Carex rostrata
Carex lasiocarpa × vesicaria;florkart;Carex lasiocarpa × vesicaria;formula;Carex lasiocarpa
Carex lasiocarpa × vesicaria;florkart;Carex lasiocarpa × vesicaria;formula;Carex vesicaria
Carex × leutzii Kneuck.;florkart;Carex ×leutzii Kneuck.;name;NA
Carex × ligniciensis Figert;florkart;Carex ×ligniciensis Figert;name;NA
Carex × limnogena Appel;florkart;Carex ×limnogena Appel;name;NA
Carex canescens × paniculata;florkart;Carex canescens × paniculata;formula;Carex canescens
Carex canescens × paniculata;florkart;Carex canescens × paniculata;formula;Carex paniculata
Carex distans × lepidocarpa;florkart;Carex distans × lepidocarpa;formula;Carex distans
Carex distans × lepidocarpa;florkart;Carex distans × lepidocarpa;formula;Carex lepidocarpa
Carex microstachya Ehrh.;florkart;Carex microstachya Ehrh.;formula;NA
Carex montana × umbrosa;florkart;Carex montana × umbrosa;formula;Carex montana
Carex montana × umbrosa;florkart;Carex montana × umbrosa;formula;Carex umbrosa
Carex × muelleriana F. W. Schultz;florkart;Carex ×muelleriana F. W. Schultz;name;NA
Carex muricata × spicata;florkart;Carex muricata × spicata;formula;Carex muricata
Carex muricata × spicata;florkart;Carex muricata × spicata;formula;Carex spicata
Carex nigra × trinervis;florkart;Carex nigra × trinervis;formula;Carex nigra
Carex nigra × trinervis;florkart;Carex nigra × trinervis;formula;Carex trinervis
Carex × oenensis B. Walln., excl. descr.;florkart;Carex ×oenensis B. Walln., excl. descr.;name;NA
Carex brizoides × remota;florkart;Carex brizoides × remota;formula;Carex brizoides
Carex brizoides × remota;florkart;Carex brizoides × remota;formula;Carex remota
Carex × appeliana Zahn;florkart;Carex ×appeliana Zahn;name;NA
Carex × pieperiana Junge;florkart;Carex ×pieperiana Junge;name;NA
Carex × ploettnerana Beyer;florkart;Carex ×ploettnerana Beyer;name;NA
