taxonID;Taxon;taxonName;taxonNameEdited;taxonNameEditedShort;taxonNameAuthors;taxonRank;isHybrid;acceptedTaxonName;acceptedHigherTaxonName;countRaw;countFiltered;taxonNameForGSL;keep;remark
pladias:4211;Helictochloa pratensis subsp. hirtifolia;Helictochloa pratensis subsp. hirtifolia (Podp.) Romero Zarco;Helictochloa pratensis subsp. hirtifolia (Podp.) Romero Zarco;Helictochloa pratensis subsp. hirtifolia;(Podp.) Romero Zarco;subsp;NA;Helictochloa pratensis subsp. hirtifolia (Podp.) Romero Zarco;Helictochloa pratensis (L.) Romero Zarco;21;18;Helictochloa pratensis subsp. hirtifolia;1;NA
pladias:3160;Helictotrichon desertorum;Helictotrichon desertorum (Less.) Nevski;Helictotrichon desertorum (Less.) Nevski;Helictotrichon desertorum;(Less.) Nevski;species;NA;Helictotrichon desertorum (Less.) Pilg.;Helictotrichon desertorum (Less.) Pilg.;5;4;Helictotrichon desertorum;1;NA
pladias:3161;Helictotrichon desertorum subsp. basalticum;Helictotrichon desertorum subsp. basalticum (Podp.) Holub;Helictotrichon desertorum subsp. basalticum (Podp.) Holub;Helictotrichon desertorum subsp. basalticum;(Podp.) Holub;subsp;NA;Helictotrichon desertorum (Less.) Pilg.;Helictotrichon desertorum (Less.) Pilg.;2;1;Helictotrichon desertorum subsp. basalticum;1;NA
pladias:3697;Heliopsis helianthoides;Heliopsis helianthoides (L.) Sweet;Heliopsis helianthoides (L.) Sweet;Heliopsis helianthoides;(L.) Sweet;species;NA;Heliopsis helianthoides (L.) Sweet;Heliopsis helianthoides (L.) Sweet;6;6;Heliopsis helianthoides;1;NA
pladias:4062;Heliotropium europaeum;Heliotropium europaeum L.;Heliotropium europaeum L.;Heliotropium europaeum;L.;species;NA;Heliotropium europaeum L.;Heliotropium europaeum L.;4;4;Heliotropium europaeum;1;NA
pladias:3828;Helleborus foetidus;Helleborus foetidus L.;Helleborus foetidus L.;Helleborus foetidus;L.;species;NA;Helleborus foetidus L.;Helleborus foetidus L.;7;7;Helleborus foetidus;1;NA
pladias:3888;Helleborus niger;Helleborus niger L.;Helleborus niger L.;Helleborus niger;L.;species;NA;Helleborus niger L.;Helleborus niger L.;6;6;Helleborus niger;1;NA
pladias:3933;Helleborus odorus;Helleborus odorus Waldst. et Kit. ex Willd.;Helleborus odorus Waldst. & Kit. ex Willd.;Helleborus odorus;Waldst. & Kit. ex Willd.;species;NA;Helleborus odorus Waldst. & Kit. ex Willd.;Helleborus odorus Waldst. & Kit. ex Willd.;2;2;Helleborus odorus;1;NA
pladias:4353;Helleborus orientalis;Helleborus orientalis Lam.;Helleborus orientalis Lam.;Helleborus orientalis;Lam.;species;NA;Helleborus orientalis Lam.;Helleborus orientalis Lam.;4;3;Helleborus orientalis;1;NA
pladias:3918;Helleborus purpurascens;Helleborus purpurascens Waldst. et Kit.;Helleborus purpurascens Waldst. & Kit.;Helleborus purpurascens;Waldst. & Kit.;species;NA;Helleborus purpurascens Waldst. & Kit.;Helleborus purpurascens Waldst. & Kit.;5;5;Helleborus purpurascens;0;cultivated
pladias:1018;Helleborus viridis;Helleborus viridis L.;Helleborus viridis L.;Helleborus viridis;L.;species;NA;Helleborus viridis L.;Helleborus viridis L.;14;13;Helleborus viridis;1;NA
pladias:3174;Helminthotheca echioides;Helminthotheca echioides (L.) Holub;Helminthotheca echioides (L.) Holub;Helminthotheca echioides;(L.) Holub;species;NA;Helminthotheca echioides (L.) Holub;Helminthotheca echioides (L.) Holub;8;8;Helminthotheca echioides;1;NA
pladias:1019;Hemerocallis fulva;Hemerocallis fulva (L.) L.;Hemerocallis fulva (L.) L.;Hemerocallis fulva;(L.) L.;species;NA;Hemerocallis fulva (L.) L.;Hemerocallis fulva (L.) L.;156;142;Hemerocallis fulva;1;NA
pladias:3206;Hemerocallis lilioasphodelus;Hemerocallis lilioasphodelus L.;Hemerocallis lilioasphodelus L.;Hemerocallis lilioasphodelus;L.;species;NA;Hemerocallis lilioasphodelus L.;Hemerocallis lilioasphodelus L.;12;11;Hemerocallis lilioasphodelus;1;NA
pladias:3949;Notholaena marantae;Notholaena marantae (L.) Desv.;Notholaena marantae (L.) Desv.;Notholaena marantae;(L.) Desv.;species;NA;Hemionitis marantae (L.) Christenh.;Hemionitis marantae (L.) Christenh.;3;3;Notholaena marantae;1;NA
pladias:757;Hepatica nobilis;Hepatica nobilis Schreb.;Hepatica nobilis Schreb.;Hepatica nobilis;Schreb.;species;NA;Hepatica nobilis Mill. ex Schreb.;Hepatica nobilis Mill. ex Schreb.;464;440;Hepatica nobilis;1;NA
pladias:1020;Heracleum mantegazzianum;Heracleum mantegazzianum Sommier et Levier;Heracleum mantegazzianum Sommier & Levier;Heracleum mantegazzianum;Sommier & Levier;species;NA;Heracleum mantegazzianum Sommier & Levier;Heracleum mantegazzianum Sommier & Levier;377;357;Heracleum mantegazzianum;1;NA
pladias:4362;Heracleum persicum;Heracleum persicum Desf. ex Fisch.;Heracleum persicum Desf. ex Fisch.;Heracleum persicum;Desf. ex Fisch.;species;NA;Heracleum persicum Desf. ex Fisch. & al.;Heracleum persicum Desf. ex Fisch. & al.;2;2;Heracleum persicum;1;NA
pladias:1266;Heracleum sphondylium subsp. sphondylium;Heracleum sphondylium subsp. sphondylium;Heracleum sphondylium subsp. sphondylium;Heracleum sphondylium subsp. sphondylium;NA;subsp;NA;Heracleum sphondylium subsp. sphondylium;Heracleum sphondylium L.;100;91;Heracleum sphondylium subsp. sphondylium;1;NA
pladias:155;Heracleum sphondylium;Heracleum sphondylium L.;Heracleum sphondylium L.;Heracleum sphondylium;L.;species;NA;Heracleum sphondylium L.;Heracleum sphondylium L.;659;586;Heracleum sphondylium;1;NA
pladias:2363;Heracleum sphondylium subsp. glabrum;Heracleum sphondylium subsp. glabrum (Huth) Holub;Heracleum sphondylium subsp. glabrum (Huth) Holub;Heracleum sphondylium subsp. glabrum;(Huth) Holub;subsp;NA;Heracleum sphondylium L.;Heracleum sphondylium L.;12;10;Heracleum sphondylium subsp. glabrum;1;NA
pladias:3094;Heracleum sphondylium subsp. chloranthum;Heracleum sphondylium subsp. chloranthum (Borbás) H. Neumayer;Heracleum sphondylium subsp. chloranthum (Borbás) H.Neumayer;Heracleum sphondylium subsp. chloranthum;(Borbás) H.Neumayer;subsp;NA;Heracleum sphondylium subsp. chloranthum (Borbás) H.Neum.;Heracleum sphondylium L.;20;20;Heracleum sphondylium subsp. chloranthum;1;NA
pladias:3553;Heracleum sphondylium subsp. trachycarpum;Heracleum sphondylium subsp. trachycarpum (Soják) Holub;Heracleum sphondylium subsp. trachycarpum (Soják) Holub;Heracleum sphondylium subsp. trachycarpum;(Soják) Holub;subsp;NA;Heracleum sphondylium subsp. sphondylium;Heracleum sphondylium L.;27;20;Heracleum sphondylium subsp. trachycarpum;1;NA
pladias:4521;Herminium monorchis;Herminium monorchis (L.) R. Br.;Herminium monorchis (L.) R.Br.;Herminium monorchis;(L.) R.Br.;species;NA;Herminium monorchis (L.) R.Br.;Herminium monorchis (L.) R.Br.;6;4;Herminium monorchis;0;extinct/missing
pladias:526;Herniaria glabra;Herniaria glabra L.;Herniaria glabra L.;Herniaria glabra;L.;species;NA;Herniaria glabra L.;Herniaria glabra L.;315;304;Herniaria glabra;1;NA
pladias:2093;Herniaria hirsuta;Herniaria hirsuta L.;Herniaria hirsuta L.;Herniaria hirsuta;L.;species;NA;Herniaria hirsuta L.;Herniaria hirsuta L.;59;54;Herniaria hirsuta;1;NA
pladias:4141;Herniaria incana;Herniaria incana Lam.;Herniaria incana Lam.;Herniaria incana;Lam.;species;NA;Herniaria incana Lam.;Herniaria incana Lam.;1;1;Herniaria incana;1;NA
pladias:2136;Hesperis matronalis agg.;Hesperis matronalis agg.;NA;NA;NA;agg;NA;Hesperis matronalis agg.;Hesperis matronalis agg.;17;17;Hesperis matronalis agg.;0;higher taxon
pladias:1334;Hesperis matronalis subsp. candida;Hesperis matronalis subsp. candida (Schulzer et al.) Thell.;Hesperis matronalis subsp. candida (Schulzer & al.) Thell.;Hesperis matronalis subsp. candida;(Schulzer & al.) Thell.;subsp;NA;Hesperis matronalis subsp. nivea (Baumg.) Kulcz.;Hesperis matronalis L.;3;1;Hesperis matronalis subsp. candida;1;NA
pladias:1735;Hesperis matronalis subsp. matronalis;Hesperis matronalis subsp. matronalis;Hesperis matronalis subsp. matronalis;Hesperis matronalis subsp. matronalis;NA;subsp;NA;Hesperis matronalis subsp. matronalis;Hesperis matronalis L.;26;25;Hesperis matronalis subsp. matronalis;1;NA
pladias:527;Hesperis matronalis;Hesperis matronalis L.;Hesperis matronalis L.;Hesperis matronalis;L.;species;NA;Hesperis matronalis L.;Hesperis matronalis L.;344;317;Hesperis matronalis;1;NA
pladias:3226;Hesperis sylvestris;Hesperis sylvestris Crantz;Hesperis sylvestris Crantz;Hesperis sylvestris;Crantz;species;NA;Hesperis sylvestris Crantz;Hesperis sylvestris Crantz;27;24;Hesperis sylvestris;1;NA
pladias:4393;Hesperis tristis;Hesperis tristis L.;Hesperis tristis L.;Hesperis tristis;L.;species;NA;Hesperis tristis L.;Hesperis tristis L.;14;10;Hesperis tristis;1;NA
pladias:4567;Heuchera sanguinea;Heuchera sanguinea Engelm.;Heuchera sanguinea Engelm.;Heuchera sanguinea;Engelm.;species;NA;Heuchera sanguinea Engelm.;Heuchera sanguinea Engelm.;2;2;Heuchera sanguinea;0;cultivated
pladias:3698;Hibiscus syriacus;Hibiscus syriacus L.;Hibiscus syriacus L.;Hibiscus syriacus;L.;species;NA;Hibiscus syriacus L.;Hibiscus syriacus L.;8;8;Hibiscus syriacus;0;cultivated
pladias:2896;Hibiscus trionum;Hibiscus trionum L.;Hibiscus trionum L.;Hibiscus trionum;L.;species;NA;Hibiscus trionum L.;Hibiscus trionum L.;31;28;Hibiscus trionum;1;NA
pladias:1770;Hieracium alpinum;Hieracium alpinum L.;Hieracium alpinum L.;Hieracium alpinum;L.;species;NA;Hieracium alpinum L.;Hieracium alpinum agg.;12;8;Hieracium alpinum;1;NA
