verbatim;edited;parent
Schoenus nigricans x ferrugineus NULL;Schoenus nigricans × ferrugineus;Schoenus ferrugineus
Carex saxatilis x rostrata NULL;Carex saxatilis × rostrata;Carex saxatilis
Carex saxatilis x rostrata NULL;Carex saxatilis × rostrata;Carex rostrata
Carex saxatilis x vesicaria NULL;Carex saxatilis × vesicaria;Carex saxatilis
Carex saxatilis x vesicaria NULL;Carex saxatilis × vesicaria;Carex vesicaria
Carex saxatilis x rotundata NULL;Carex saxatilis × rotundata;Carex saxatilis
Carex saxatilis x rotundata NULL;Carex saxatilis × rotundata;Carex rotundata
Rumex pulcher x conglomeratus NULL;Rumex pulcher × conglomeratus;Rumex pulcher
Rumex pulcher x conglomeratus NULL;Rumex pulcher × conglomeratus;Rumex conglomeratus
Rumex pulcher x crispus NULL;Rumex pulcher × crispus;Rumex pulcher
Rumex pulcher x crispus NULL;Rumex pulcher × crispus;Rumex crispus
Arabis hirsuta x sagittata NULL;Arabis hirsuta × sagittata;Arabis hirsuta
Arabis hirsuta x sagittata NULL;Arabis hirsuta × sagittata;Arabis sagittata
Rumex pulcher x obtusifolius NULL;Rumex pulcher × obtusifolius;Rumex pulcher
Rumex pulcher x obtusifolius NULL;Rumex pulcher × obtusifolius;Rumex obtusifolius
Saxifraga juniperifolia x marginata NULL;Saxifraga juniperifolia × marginata;Saxifraga juniperifolia
Saxifraga juniperifolia x marginata NULL;Saxifraga juniperifolia × marginata;Saxifraga marginata
Cochlearia anglica x officinalis NULL;Cochlearia anglica × officinalis;Cochlearia anglica
Cochlearia anglica x officinalis NULL;Cochlearia anglica × officinalis;Cochlearia officinalis
Viola mirabilis x riviniana NULL;Viola mirabilis × riviniana;Viola mirabilis
Viola mirabilis x riviniana NULL;Viola mirabilis × riviniana;Viola riviniana
Saxifraga ferdinandi-coburgi x juniperifolia NULL;Saxifraga ferdinandi-coburgi × juniperifolia;Saxifraga ferdinandi-coburgi
Saxifraga ferdinandi-coburgi x juniperifolia NULL;Saxifraga ferdinandi-coburgi × juniperifolia;Saxifraga juniperifolia
Viola reichenbachiana x riviniana NULL;Viola reichenbachiana × riviniana;Viola reichenbachiana
Viola reichenbachiana x riviniana NULL;Viola reichenbachiana × riviniana;Viola riviniana
Viola riviniana x rupestris NULL;Viola riviniana × rupestris;Viola riviniana
Viola riviniana x rupestris NULL;Viola riviniana × rupestris;Viola rupestris
Viola canina x persicifolia NULL;Viola canina × persicifolia;Viola canina
Viola canina x persicifolia NULL;Viola canina × persicifolia;Viola persicifolia
Viola canina x riviniana NULL;Viola canina × riviniana;Viola canina
Viola canina x riviniana NULL;Viola canina × riviniana;Viola riviniana
