taxon_id;url;ecoflora_latin_name;taxon_name_canonical;hybrid_formula;ecoflora_author;ecoflora_family;ecoflora_english_name;ecoflora_plant_number;ecoflora_welsh_name;ecoflora_irish_name;taxon_name_authors;taxon_name;taxon_name_from_url;is_hybrid;taxon_id_accepted;taxon_name_accepted;taxon_name_canonical_accepted;date;contributor
ecoflora:920007935;http://ecoflora.org.uk/search_species2.php?plant_no=920007935;Ageratum houstonianum;Ageratum houstonianum;NA;Mill.;Asteraceae;Flossflower;920007935;NA;NA;Mill.;Ageratum houstonianum Mill.;Ageratum houstonianum;FALSE;gbif:5401760;Ageratum houstonianum Mill.;Ageratum houstonianum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:800120010;http://ecoflora.org.uk/search_species2.php?plant_no=800120010;Aremonia agrimonioides;Aremonia agrimonioides;NA;(L.) DC.;Rosaceae;Bastard Agrimony;800120010;NA;NA;(L.) DC.;Aremonia agrimonioides (L.) DC.;Agrimonia agrimonioides;FALSE;gbif:3029697;Sanguisorba agrimonioides (L.) Cout.;Sanguisorba agrimonioides;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:800120010;http://ecoflora.org.uk/search_species2.php?plant_no=800120010;Aremonia agrimonioides;Aremonia agrimonioides;NA;(L.) DC.;Rosaceae;Bastard Agrimony;800120010;NA;NA;(L.) DC.;Aremonia agrimonioides (L.) DC.;Aremonia agrimonioides;FALSE;gbif:3029697;Sanguisorba agrimonioides (L.) Cout.;Sanguisorba agrimonioides;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:800110020;http://ecoflora.org.uk/search_species2.php?plant_no=800110020;Agrimonia eupatoria;Agrimonia eupatoria;NA;L.;Rosaceae;Agrimony;800110020;Llysiau'r Dryw;Marbhdhraighean;L.;Agrimonia eupatoria L.;Agrimonia eupatoria;FALSE;gbif:3001956;Agrimonia eupatoria L.;Agrimonia eupatoria;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:800110030;http://ecoflora.org.uk/search_species2.php?plant_no=800110030;Agrimonia procera;Agrimonia procera;NA;Wallr.;Rosaceae;Fragrant Agrimony;800110030;NA;Marbhdhraighean cumhra;Wallr.;Agrimonia procera Wallr.;Agrimonia odorata;FALSE;gbif:3002121;Agrimonia procera Wallr.;Agrimonia procera;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:800110030;http://ecoflora.org.uk/search_species2.php?plant_no=800110030;Agrimonia procera;Agrimonia procera;NA;Wallr.;Rosaceae;Fragrant Agrimony;800110030;NA;Marbhdhraighean cumhra;Wallr.;Agrimonia procera Wallr.;Agrimonia procera;FALSE;gbif:3002121;Agrimonia procera Wallr.;Agrimonia procera;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:800110030;http://ecoflora.org.uk/search_species2.php?plant_no=800110030;Agrimonia procera;Agrimonia procera;NA;Wallr.;Rosaceae;Fragrant Agrimony;800110030;NA;Marbhdhraighean cumhra;Wallr.;Agrimonia procera Wallr.;Agrimonia repens;FALSE;gbif:3002121;Agrimonia procera Wallr.;Agrimonia procera;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480050;http://ecoflora.org.uk/search_species2.php?plant_no=1930480050;Elymus caninus;Elymus caninus;NA;(L.) L.;Poaceae;Bearded Couch;1930480050;Marchwellt y Coed;NA;(L.) L.;Elymus caninus (L.) L.;Agropyron caninum;FALSE;gbif:5290319;Elymus caninus (L.) L.;Elymus caninus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480050;http://ecoflora.org.uk/search_species2.php?plant_no=1930480050;Elymus caninus;Elymus caninus;NA;(L.) L.;Poaceae;Bearded Couch;1930480050;Marchwellt y Coed;NA;(L.) L.;Elymus caninus (L.) L.;Agropyron donianum;FALSE;gbif:5290319;Elymus caninus (L.) L.;Elymus caninus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480050;http://ecoflora.org.uk/search_species2.php?plant_no=1930480050;Elymus caninus;Elymus caninus;NA;(L.) L.;Poaceae;Bearded Couch;1930480050;Marchwellt y Coed;NA;(L.) L.;Elymus caninus (L.) L.;Elymus caninus;FALSE;gbif:5290319;Elymus caninus (L.) L.;Elymus caninus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480050;http://ecoflora.org.uk/search_species2.php?plant_no=1930480050;Elymus caninus;Elymus caninus;NA;(L.) L.;Poaceae;Bearded Couch;1930480050;Marchwellt y Coed;NA;(L.) L.;Elymus caninus (L.) L.;Elymus trachycaulus;FALSE;gbif:5290319;Elymus caninus (L.) L.;Elymus caninus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480220;http://ecoflora.org.uk/search_species2.php?plant_no=1930480220;Elytrigia juncea;Elytrigia juncea;NA;(L.) Nevski;Poaceae;Sand Couch;1930480220;Marchwellt y Twyni;NA;(L.) Nevski;Elytrigia juncea (L.) Nevski;Agropyron junceiforme;FALSE;gbif:8395719;Thinopyrum junceum (L.) Á.Löve;Thinopyrum junceum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480220;http://ecoflora.org.uk/search_species2.php?plant_no=1930480220;Elytrigia juncea;Elytrigia juncea;NA;(L.) Nevski;Poaceae;Sand Couch;1930480220;Marchwellt y Twyni;NA;(L.) Nevski;Elytrigia juncea (L.) Nevski;Agropyron junceum;FALSE;gbif:8395719;Thinopyrum junceum (L.) Á.Löve;Thinopyrum junceum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480220;http://ecoflora.org.uk/search_species2.php?plant_no=1930480220;Elytrigia juncea;Elytrigia juncea;NA;(L.) Nevski;Poaceae;Sand Couch;1930480220;Marchwellt y Twyni;NA;(L.) Nevski;Elytrigia juncea (L.) Nevski;Elymus farctus;FALSE;gbif:8395719;Thinopyrum junceum (L.) Á.Löve;Thinopyrum junceum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480220;http://ecoflora.org.uk/search_species2.php?plant_no=1930480220;Elytrigia juncea;Elytrigia juncea;NA;(L.) Nevski;Poaceae;Sand Couch;1930480220;Marchwellt y Twyni;NA;(L.) Nevski;Elytrigia juncea (L.) Nevski;Elytrigia juncea;FALSE;gbif:8395719;Thinopyrum junceum (L.) Á.Löve;Thinopyrum junceum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480170;http://ecoflora.org.uk/search_species2.php?plant_no=1930480170;Elytrigia atherica;Elytrigia atherica;NA;(Link) Kerguélen;Poaceae;Sea Couch;1930480170;Marchwellt Arfor;NA;(Link) Kerguélen;Elytrigia atherica (Link) Kerguélen;Agropyron pungens;FALSE;gbif:8766300;Elymus athericus (Link) Kerguélen;Elymus athericus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480170;http://ecoflora.org.uk/search_species2.php?plant_no=1930480170;Elytrigia atherica;Elytrigia atherica;NA;(Link) Kerguélen;Poaceae;Sea Couch;1930480170;Marchwellt Arfor;NA;(Link) Kerguélen;Elytrigia atherica (Link) Kerguélen;Agropyron pycnanthum;FALSE;gbif:8766300;Elymus athericus (Link) Kerguélen;Elymus athericus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480170;http://ecoflora.org.uk/search_species2.php?plant_no=1930480170;Elytrigia atherica;Elytrigia atherica;NA;(Link) Kerguélen;Poaceae;Sea Couch;1930480170;Marchwellt Arfor;NA;(Link) Kerguélen;Elytrigia atherica (Link) Kerguélen;Elymus athericus;FALSE;gbif:8766300;Elymus athericus (Link) Kerguélen;Elymus athericus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1930480170;http://ecoflora.org.uk/search_species2.php?plant_no=1930480170;Elytrigia atherica;Elytrigia atherica;NA;(Link) Kerguélen;Poaceae;Sea Couch;1930480170;Marchwellt Arfor;NA;(Link) Kerguélen;Elytrigia atherica (Link) Kerguélen;Elymus pycnanthus;FALSE;gbif:8766300;Elymus athericus (Link) Kerguélen;Elymus athericus;Mon Sep 13 18:51:48 2021;Marina Golivets
