verbatim;edited;parent
Calamagrostis epigejos × villosa;Calamagrostis epigejos × villosa;Calamagrostis villosa
Calamagrostis canescens × stricta;Calamagrostis canescens × stricta;Calamagrostis canescens
Calamagrostis canescens × stricta;Calamagrostis canescens × stricta;Calamagrostis stricta
Calamagrostis × hartmaniana Fr.;Calamagrostis × hartmaniana Fr.;NA
Calamagrostis × rigens Lindgr.;Calamagrostis × rigens Lindgr.;NA
Callitriche vigens K. Martinsson;Callitriche vigens K. Martinsson;NA
Calystegia sepium × silvatica;Calystegia sepium × silvatica;Calystegia sepium
Calystegia sepium × silvatica;Calystegia sepium × silvatica;Calystegia silvatica
Campanula bononiensis × rapunculoides;Campanula bononiensis × rapunculoides;Campanula bononiensis
Campanula bononiensis × rapunculoides;Campanula bononiensis × rapunculoides;Campanula rapunculoides
Campanula cervicaria × glomerata;Campanula cervicaria × glomerata;Campanula cervicaria
Campanula cervicaria × glomerata;Campanula cervicaria × glomerata;Campanula glomerata
Campanula glomerata × trachelium;Campanula glomerata × trachelium;Campanula glomerata
Campanula glomerata × trachelium;Campanula glomerata × trachelium;Campanula trachelium
Campanula persicifolia × rapunculus;Campanula persicifolia × rapunculus;Campanula persicifolia
Campanula persicifolia × rapunculus;Campanula persicifolia × rapunculus;Campanula rapunculus
Campanula rapunculoides × trachelium;Campanula rapunculoides × trachelium;Campanula rapunculoides
Campanula rapunculoides × trachelium;Campanula rapunculoides × trachelium;Campanula trachelium
Campanula rotundifolia × scheuchzeri;Campanula rotundifolia × scheuchzeri;Campanula rotundifolia
Campanula rotundifolia × scheuchzeri;Campanula rotundifolia × scheuchzeri;Campanula scheuchzeri
Canna generalis L. H. Bailey;Canna generalis L. H. Bailey;NA
Cardamine × ambigua O. E. Schulz;Cardamine × ambigua O. E. Schulz;NA
Cardamine flexuosa × pratensis;Cardamine flexuosa × pratensis;Cardamine flexuosa
Cardamine flexuosa × pratensis;Cardamine flexuosa × pratensis;Cardamine pratensis
Carduus × axillaris Gaudin;Carduus × axillaris Gaudin;NA
Carduus × brunneri Döll;Carduus × brunneri Döll;NA
Carduus acanthoides × crispus;Carduus acanthoides × crispus;Carduus acanthoides
Carduus acanthoides × crispus;Carduus acanthoides × crispus;Carduus crispus
Carduus × digeneus;Carduus × digeneus;NA
Carduus crispus × nutans;Carduus crispus × nutans;Carduus crispus
Carduus crispus × nutans;Carduus crispus × nutans;Carduus nutans
Carduus acanthoides × nutans;Carduus acanthoides × nutans;Carduus acanthoides
Carduus acanthoides × nutans;Carduus acanthoides × nutans;Carduus nutans
Carduus acanthoides × C. nutans subsp. nutans;Carduus acanthoides × C. nutans subsp. nutans;Carduus acanthoides
Carduus acanthoides × C. nutans subsp. nutans;Carduus acanthoides × C. nutans subsp. nutans;Carduus  nutans subsp. nutans
Carduus × grenieri Schultz-Bip. ex Nyman;Carduus × grenieri Schultz-Bip. ex Nyman;NA
Carduus acanthoides × defloratus;Carduus acanthoides × defloratus;Carduus acanthoides
Carduus acanthoides × defloratus;Carduus acanthoides × defloratus;Carduus defloratus
Carduus × subinteger J. Murr;Carduus × subinteger J. Murr;NA
Carex acutiformis × lasiocarpa;Carex acutiformis × lasiocarpa;Carex acutiformis
Carex acutiformis × lasiocarpa;Carex acutiformis × lasiocarpa;Carex lasiocarpa
Carex acuta × cespitosa;Carex acuta × cespitosa;Carex acuta
Carex acuta × cespitosa;Carex acuta × cespitosa;Carex cespitosa
Carex appropinquata × canescens;Carex appropinquata × canescens;Carex appropinquata
Carex appropinquata × canescens;Carex appropinquata × canescens;Carex canescens
Carex × arthuriana Beckm. & Figert;Carex × arthuriana Beckm. & Figert;NA
Carex remota × canescens;Carex remota × canescens;Carex remota
Carex remota × canescens;Carex remota × canescens;Carex canescens
Carex acuta × acutiformis;Carex acuta × acutiformis;Carex acuta
Carex acuta × acutiformis;Carex acuta × acutiformis;Carex acutiformis
Carex acutiformis × rostrata;Carex acutiformis × rostrata;Carex acutiformis
Carex acutiformis × rostrata;Carex acutiformis × rostrata;Carex rostrata
Carex beckmanniana Figert;Carex beckmanniana Figert;NA
Carex diandra × paniculata;Carex diandra × paniculata;Carex diandra
Carex diandra × paniculata;Carex diandra × paniculata;Carex paniculata
Carex × binderi Podp.;Carex × binderi Podp.;NA
Carex paniculata × remota;Carex paniculata × remota;Carex paniculata
Carex paniculata × remota;Carex paniculata × remota;Carex remota
Carex bolina O. Lang;Carex bolina O. Lang;NA
Carex brizoides × leporina;Carex brizoides × leporina;Carex brizoides
Carex brizoides × leporina;Carex brizoides × leporina;Carex leporina
Carex canescens × echinata;Carex canescens × echinata;Carex canescens
Carex canescens × echinata;Carex canescens × echinata;Carex echinata
Carex caryophyllea × ericetorum;Carex caryophyllea × ericetorum;Carex caryophyllea
Carex caryophyllea × ericetorum;Carex caryophyllea × ericetorum;Carex ericetorum
Carex × connectens Holmb.;Carex × connectens Holmb.;NA
Carex bigelowii × nigra;Carex bigelowii × nigra;Carex bigelowii
Carex bigelowii × nigra;Carex bigelowii × nigra;Carex nigra
Carex distans × flava;Carex distans × flava;Carex distans
Carex distans × flava;Carex distans × flava;Carex flava
Carex acutiformis × vesicaria;Carex acutiformis × vesicaria;Carex acutiformis
Carex acutiformis × vesicaria;Carex acutiformis × vesicaria;Carex vesicaria
Carex × dufftii;Carex × dufftii;NA
Carex echinata × elongata;Carex echinata × elongata;Carex echinata
Carex echinata × elongata;Carex echinata × elongata;Carex elongata
Carex echinata × remota;Carex echinata × remota;Carex echinata
Carex echinata × remota;Carex echinata × remota;Carex remota
Carex × elythrum;Carex × elythrum;NA
Carex elytroides Fr.;Carex elytroides Fr.;NA
Carex lasiocarpa × riparia;Carex lasiocarpa × riparia;Carex lasiocarpa
Carex lasiocarpa × riparia;Carex lasiocarpa × riparia;Carex riparia
Carex × figertii Asch. & Graebn.;Carex × figertii Asch. & Graebn.;NA
Carex demissa × flava;Carex demissa × flava;Carex demissa
Carex demissa × flava;Carex demissa × flava;Carex flava
Carex demissa × lepidocarpa;Carex demissa × lepidocarpa;Carex demissa
Carex demissa × lepidocarpa;Carex demissa × lepidocarpa;Carex lepidocarpa
Carex demissa × viridula;Carex demissa × viridula;Carex demissa
Carex demissa × viridula;Carex demissa × viridula;Carex viridula
Carex flava × viridula;Carex flava × viridula;Carex flava
Carex flava × viridula;Carex flava × viridula;Carex viridula
Carex lepidocarpa × viridula;Carex lepidocarpa × viridula;Carex lepidocarpa
Carex lepidocarpa × viridula;Carex lepidocarpa × viridula;Carex viridula
Carex demissa × hostiana;Carex demissa × hostiana;Carex demissa
Carex demissa × hostiana;Carex demissa × hostiana;Carex hostiana
Carex dioica × echinata;Carex dioica × echinata;Carex dioica
Carex dioica × echinata;Carex dioica × echinata;Carex echinata
Carex × ilseana Ruhmer;Carex × ilseana Ruhmer;NA
Carex involuta (Bab.) Syme;Carex involuta (Bab.) Syme;NA
Carex × jaegeri;Carex × jaegeri;NA
Carex pseudocyperus × rostrata;Carex pseudocyperus × rostrata;Carex pseudocyperus
Carex pseudocyperus × rostrata;Carex pseudocyperus × rostrata;Carex rostrata
Carex lasiocarpa × rostrata;Carex lasiocarpa × rostrata;Carex lasiocarpa
Carex lasiocarpa × rostrata;Carex lasiocarpa × rostrata;Carex rostrata
Carex lasiocarpa × vesicaria;Carex lasiocarpa × vesicaria;Carex lasiocarpa
Carex lasiocarpa × vesicaria;Carex lasiocarpa × vesicaria;Carex vesicaria
Carex × leutzii Kneuck.;Carex × leutzii Kneuck.;NA
Carex × ligniciensis Figert;Carex × ligniciensis Figert;NA
Carex × limnogena Appel;Carex × limnogena Appel;NA
Carex canescens × paniculata;Carex canescens × paniculata;Carex canescens
Carex canescens × paniculata;Carex canescens × paniculata;Carex paniculata
Carex distans × lepidocarpa;Carex distans × lepidocarpa;Carex distans
Carex distans × lepidocarpa;Carex distans × lepidocarpa;Carex lepidocarpa
Carex microstachya Ehrh.;Carex microstachya Ehrh.;NA
Carex montana × umbrosa;Carex montana × umbrosa;Carex montana
Carex montana × umbrosa;Carex montana × umbrosa;Carex umbrosa
Carex × muelleriana F. W. Schultz;Carex × muelleriana F. W. Schultz;NA
Carex muricata × spicata;Carex muricata × spicata;Carex muricata
Carex muricata × spicata;Carex muricata × spicata;Carex spicata
Carex nigra × trinervis;Carex nigra × trinervis;Carex nigra
Carex nigra × trinervis;Carex nigra × trinervis;Carex trinervis
Carex × oenensis B. Walln., excl. descr.;Carex × oenensis B. Walln., excl. descr.;NA
Carex brizoides × remota;Carex brizoides × remota;Carex brizoides
Carex brizoides × remota;Carex brizoides × remota;Carex remota
Carex × appeliana Zahn;Carex × appeliana Zahn;NA
Carex × pieperiana Junge;Carex × pieperiana Junge;NA
Carex × ploettnerana Beyer;Carex × ploettnerana Beyer;NA
Carex × prolixa Fr.;Carex × prolixa Fr.;NA
Carex otrubae × remota;Carex otrubae × remota;Carex otrubae
Carex otrubae × remota;Carex otrubae × remota;Carex remota
Carex remota × vulpina;Carex remota × vulpina;Carex remota
Carex remota × vulpina;Carex remota × vulpina;Carex vulpina
Carex riparia × vesicaria;Carex riparia × vesicaria;Carex riparia
Carex riparia × vesicaria;Carex riparia × vesicaria;Carex vesicaria
Carex appropinquata × paniculata;Carex appropinquata × paniculata;Carex appropinquata
Carex appropinquata × paniculata;Carex appropinquata × paniculata;Carex paniculata
Carex × senayana Soó;Carex × senayana Soó;NA
Carex acutiformis × riparia;Carex acutiformis × riparia;Carex acutiformis
Carex acutiformis × riparia;Carex acutiformis × riparia;Carex riparia
Carex strictiformis (Almq.) C. G. H. Thed. ex Kük.;Carex strictiformis (Almq.) C. G. H. Thed. ex Kük.;NA
Carex turfosa Fr.;Carex turfosa Fr.;NA
Carex acuta × buekii;Carex acuta × buekii;Carex acuta
Carex acuta × buekii;Carex acuta × buekii;Carex buekii
Carex × xanthocarpa Degl.;Carex × xanthocarpa Degl.;NA
Caryopteris × clandonensis Rehder;Caryopteris × clandonensis Rehder;NA
Centaurea jacea × stoebe;Centaurea jacea × stoebe;Centaurea jacea
Centaurea jacea × stoebe;Centaurea jacea × stoebe;Centaurea stoebe
Centaurea diffusa × thuillieri;Centaurea diffusa × thuillieri;Centaurea diffusa
Centaurea diffusa × thuillieri;Centaurea diffusa × thuillieri;Centaurea thuillieri
Centaurea jacea × nigra;Centaurea jacea × nigra;Centaurea jacea
Centaurea jacea × nigra;Centaurea jacea × nigra;Centaurea nigra
Centaurea jacea × C. nigra subsp. nemoralis;Centaurea jacea × C. nigra subsp. nemoralis;Centaurea jacea
Centaurea jacea × C. nigra subsp. nemoralis;Centaurea jacea × C. nigra subsp. nemoralis;Centaurea  nigra subsp. nemoralis
Centaurea jacea × pannonica;Centaurea jacea × pannonica;Centaurea jacea
Centaurea jacea × pannonica;Centaurea jacea × pannonica;Centaurea pannonica
Centaurea jacea × scabiosa;Centaurea jacea × scabiosa;Centaurea jacea
Centaurea jacea × scabiosa;Centaurea jacea × scabiosa;Centaurea scabiosa
Centaurea jacea × solstitialis;Centaurea jacea × solstitialis;Centaurea jacea
Centaurea jacea × solstitialis;Centaurea jacea × solstitialis;Centaurea solstitialis
Centaurea jacea subsp. jacea × C. jacea subsp. decipiens;Centaurea jacea subsp. jacea × C. jacea subsp. decipiens;Centaurea jacea subsp. jacea
Centaurea jacea subsp. jacea × C. jacea subsp. decipiens;Centaurea jacea subsp. jacea × C. jacea subsp. decipiens;Centaurea  jacea subsp. decipiens
Centaurea nemoralis × pseudophrygia;Centaurea nemoralis × pseudophrygia;Centaurea nemoralis
Centaurea nemoralis × pseudophrygia;Centaurea nemoralis × pseudophrygia;Centaurea pseudophrygia
Centaurea nigrescens × thuillieri;Centaurea nigrescens × thuillieri;Centaurea nigrescens
Centaurea nigrescens × thuillieri;Centaurea nigrescens × thuillieri;Centaurea thuillieri
Centaurea psammogena Gáyer;Centaurea psammogena Gáyer;NA
Centaurea pseudophrygia × thuillieri;Centaurea pseudophrygia × thuillieri;Centaurea pseudophrygia
Centaurea pseudophrygia × thuillieri;Centaurea pseudophrygia × thuillieri;Centaurea thuillieri
Centaurium littorale × pulchellum;Centaurium littorale × pulchellum;Centaurium littorale
Centaurium littorale × pulchellum;Centaurium littorale × pulchellum;Centaurium pulchellum
Cephalanthera × schulzei;Cephalanthera × schulzei;NA
Cerastium arvense × holosteoides;Cerastium arvense × holosteoides;Cerastium arvense
Cerastium arvense × holosteoides;Cerastium arvense × holosteoides;Cerastium holosteoides
Cerastium brachypetalum × holosteoides;Cerastium brachypetalum × holosteoides;Cerastium brachypetalum
Cerastium brachypetalum × holosteoides;Cerastium brachypetalum × holosteoides;Cerastium holosteoides
Cerastium glomeratum × holosteoides;Cerastium glomeratum × holosteoides;Cerastium glomeratum
Cerastium glomeratum × holosteoides;Cerastium glomeratum × holosteoides;Cerastium holosteoides
Cerastium × maureri M. Schulze;Cerastium × maureri M. Schulze;NA
Chaenomeles × superba (Frahm) Rehder;Chaenomeles × superba (Frahm) Rehder;NA
