NAMNR;taxonID;taxonName;taxonRank;isHybrid;taxonNameEdited;taxonNameEditedShort;taxonNameEditedAuthors;higherTaxonID;acceptedTaxonName;acceptedHigherTaxonName;countRaw;countFiltered;keep;remark;taxonNameForGSL;isAquatic
30300;floraweb:30300;Aralia spinosa;species;FALSE;Aralia spinosa L.;Aralia spinosa;L.;floraweb:30300;Aralia spinosa L.;Aralia spinosa L.;1;1;1;;Aralia spinosa;
30378;floraweb:30378;Araucaria araucana (Molina) K. Koch;species;FALSE;Araucaria araucana (Molina) K.Koch;Araucaria araucana;(Molina) K.Koch;floraweb:30378;Araucaria araucana (Molina) K.Koch;Araucaria araucana (Molina) K.Koch;1;0;0;outside final grid;Araucaria araucana;
35073;floraweb:35073;Arbutus unedo L.;species;FALSE;Arbutus unedo L.;Arbutus unedo;L.;floraweb:35073;Arbutus unedo L.;Arbutus unedo L.;0;0;0;absent in DE;Arbutus unedo;
30370;floraweb:30370;Anthemis marschalliana Willd.;species;FALSE;Anthemis marschalliana Willd.;Anthemis marschalliana;Willd.;floraweb:30370;Archanthemis marschalliana (Willd.) Lo Presti & Oberpr.;Archanthemis marschalliana (Willd.) Lo Presti & Oberpr.;0;0;0;absent in DE;Anthemis marschalliana;
10049;floraweb:10049;Arctium × ambiguum (Čelak.) Nyman;species;TRUE;Arctium ambiguum (Čelak.) Nyman;Arctium ambiguum;(Čelak.) Nyman;floraweb:10049;Arctium ambiguum Nyman;Arctium ambiguum Nyman;53;48;1;;Arctium ×ambiguum;
10047;floraweb:10047;Arctium × cimbricum;species;TRUE;Arctium cimbricum (E.H.L.Krause) Hay.;Arctium cimbricum;(E.H.L.Krause) Hay.;floraweb:10047;Arctium cimbricum (E.H.L.Krause) Hayek;Arctium cimbricum (E.H.L.Krause) Hayek;21;18;1;;Arctium ×cimbricum;
546;floraweb:546;Arctium lappa L.;species;FALSE;Arctium lappa L.;Arctium lappa;L.;floraweb:546;Arctium lappa L.;Arctium lappa L.;2531;2278;1;;Arctium lappa;
29266;floraweb:29266;Arctium minus × nemorosum;species;TRUE;Arctium minus × nemorosum;Arctium minus × nemorosum;NA;floraweb:29266;Arctium maassii Rouy;Arctium maassii Rouy;5;4;1;;Arctium minus ×nemorosum;
13702;floraweb:13702;Arctium minus (Hill) Bernh., s. l.;species;FALSE;Arctium minus (Hill) Bernh., s.l.;Arctium minus;(Hill) Bernh., s.l.;floraweb:13702;Arctium minus (Hill) Bernh. s.l.;Arctium minus (Hill) Bernh.;2694;2410;1;;Arctium minus s. l.;
547;floraweb:547;Arctium minus agg.;agg;FALSE;NA;NA;NA;floraweb:547;Arctium minus agg.;Arctium minus agg.;2816;2520;0;higher taxon;Arctium minus agg.;
33143;floraweb:33143;Arctium minus × tomentosum;species;TRUE;Arctium minus × tomentosum;Arctium minus × tomentosum;NA;floraweb:33143;Arctium mixtum Nyman;Arctium mixtum Nyman;62;56;1;;Arctium minus ×tomentosum;
549;floraweb:549;Arctium nemorosum Lej.;species;FALSE;Arctium nemorosum Lej.;Arctium nemorosum;Lej.;floraweb:549;Arctium nemorosum Lej.;Arctium nemorosum Lej.;1467;1319;1;;Arctium nemorosum;
33144;floraweb:33144;Arctium nemorosum × tomentosum;species;TRUE;Arctium nemorosum × tomentosum;Arctium nemorosum × tomentosum;NA;floraweb:33144;Arctium neumannii Rouy ex P.Fourn.;Arctium neumannii Rouy ex P.Fourn.;24;22;1;;Arctium nemorosum ×tomentosum;
29267;floraweb:29267;Arctium lappa × minus;species;TRUE;Arctium lappa × minus;Arctium lappa × minus;NA;floraweb:29267;Arctium nothum (Ruhmer) J.Weiss;Arctium nothum (Ruhmer) J.Weiss;79;70;1;;Arctium lappa ×minus;
551;floraweb:551;Arctium tomentosum Mill.;species;FALSE;Arctium tomentosum Mill.;Arctium tomentosum;Mill.;floraweb:551;Arctium tomentosum Mill.;Arctium tomentosum Mill.;2032;1850;1;;Arctium tomentosum;
552;floraweb:552;Arctostaphylos alpinus (L.) Spreng.;species;FALSE;Arctostaphylos alpinus (L.) Spreng.;Arctostaphylos alpinus;(L.) Spreng.;floraweb:552;Arctostaphylos alpinus (L.) Spreng.;Arctostaphylos alpinus (L.) Spreng.;48;22;1;;Arctostaphylos alpinus;
553;floraweb:553;Arctostaphylos uva-ursi (L.) Spreng.;species;FALSE;Arctostaphylos uva-ursi (L.) Spreng.;Arctostaphylos uva-ursi;(L.) Spreng.;floraweb:553;Arctostaphylos uva-ursi (L.) Spreng.;Arctostaphylos uva-ursi (L.) Spreng.;231;98;1;;Arctostaphylos uva-ursi;
30295;floraweb:30295;Arctotheca calendula (R. Br.) Lewin;species;FALSE;Arctotheca calendula (R.Br.) Lewin;Arctotheca calendula;(R.Br.) Lewin;floraweb:30295;Arctotheca calendula (L.) Levyns;Arctotheca calendula (L.) Levyns;1;1;1;;Arctotheca calendula;
29662;floraweb:29662;Aremonia agrimonoides subsp. agrimonoides;subsp;FALSE;Aremonia agrimonoides subsp. agrimonoides;Aremonia agrimonoides subsp. agrimonoides;NA;floraweb:554;Aremonia agrimonoides (L.) DC.;Aremonia agrimonoides (L.) DC.;0;0;0;no data;Aremonia agrimonoides subsp. agrimonoides;
554;floraweb:554;Aremonia agrimonoides (L.) DC.;species;FALSE;Aremonia agrimonoides (L.) DC.;Aremonia agrimonoides;(L.) DC.;floraweb:554;Aremonia agrimonoides (L.) DC.;Aremonia agrimonoides (L.) DC.;6;2;1;;Aremonia agrimonoides;
555;floraweb:555;Arenaria biflora L.;species;FALSE;Arenaria biflora L.;Arenaria biflora;L.;floraweb:555;Arenaria biflora L.;Arenaria biflora L.;0;0;0;absent in DE;Arenaria biflora;
20550;floraweb:20550;Arenaria ciliata subsp. multicaulis (L.) Ces.;subsp;FALSE;Arenaria ciliata subsp. multicaulis (L.) Ces.;Arenaria ciliata subsp. multicaulis;(L.) Ces.;floraweb:26651;Arenaria ciliata L.;Arenaria ciliata L.;6;2;1;;Arenaria ciliata subsp. multicaulis;
26564;floraweb:26564;Arenaria ciliata subsp. ciliata;subsp;FALSE;Arenaria ciliata subsp. ciliata;Arenaria ciliata subsp. ciliata;NA;floraweb:26651;Arenaria ciliata L.;Arenaria ciliata L.;5;0;0;outside final grid;Arenaria ciliata subsp. ciliata;
26651;floraweb:26651;Arenaria ciliata L., s. l.;species;FALSE;Arenaria ciliata L., s.l.;Arenaria ciliata;L., s.l.;floraweb:26651;Arenaria ciliata L.;Arenaria ciliata L.;9;2;1;;Arenaria ciliata s. l.;
29663;floraweb:29663;Arenaria leptoclados subsp. leptoclados;subsp;FALSE;Arenaria leptoclados subsp. leptoclados;Arenaria leptoclados subsp. leptoclados;NA;floraweb:564;Arenaria leptoclados (Rchb.) Guss.;Arenaria leptoclados (Rchb.) Guss.;305;244;1;;Arenaria leptoclados subsp. leptoclados;
564;floraweb:564;Arenaria leptoclados (Rchb.) Guss.;species;FALSE;Arenaria leptoclados (Rchb.) Guss.;Arenaria leptoclados;(Rchb.) Guss.;floraweb:564;Arenaria leptoclados (Rchb.) Guss.;Arenaria leptoclados (Rchb.) Guss.;306;245;1;;Arenaria leptoclados;
30436;floraweb:30436;Arenaria montana L.;species;FALSE;Arenaria montana L.;Arenaria montana;L.;floraweb:30436;Arenaria montana L.;Arenaria montana L.;0;0;0;absent in DE;Arenaria montana;
563;floraweb:563;Arenaria serpyllifolia agg.;agg;FALSE;NA;NA;NA;floraweb:563;Arenaria serpyllifolia agg.;Arenaria serpyllifolia agg.;2932;2620;0;higher taxon;Arenaria serpyllifolia agg.;
13703;floraweb:13703;Arenaria serpyllifolia;species;FALSE;Arenaria serpyllifolia L.;Arenaria serpyllifolia;L.;floraweb:13703;Arenaria serpyllifolia L.;Arenaria serpyllifolia L.;2411;2178;1;;Arenaria serpyllifolia s. l.;
26565;floraweb:26565;Arenaria serpyllifolia subsp. lloydii (Jord.) Bonnier;subsp;FALSE;Arenaria serpyllifolia subsp. lloydii (Jord.) Bonnier;Arenaria serpyllifolia subsp. lloydii;(Jord.) Bonnier;floraweb:13703;Arenaria serpyllifolia L.;Arenaria serpyllifolia L.;6;3;1;;Arenaria serpyllifolia subsp. lloydii;
6463;floraweb:6463;Arenaria serpyllifolia subsp. serpyllifolia;subsp;FALSE;Arenaria serpyllifolia subsp. serpyllifolia;Arenaria serpyllifolia subsp. serpyllifolia;NA;floraweb:13703;Arenaria serpyllifolia L.;Arenaria serpyllifolia L.;2303;2078;1;;Arenaria serpyllifolia subsp. serpyllifolia;
6620;floraweb:6620;Argemone mexicana L.;species;FALSE;Argemone mexicana L.;Argemone mexicana;L.;floraweb:6620;Argemone mexicana L.;Argemone mexicana L.;7;3;1;;Argemone mexicana;
34063;floraweb:34063;Potentilla anserina subsp. anserina;subsp;FALSE;Potentilla anserina subsp. anserina;Potentilla anserina subsp. anserina;NA;floraweb:4489;Potentilla anserina subsp. anserina;Argentina anserina (L.) Rydb.;2959;2625;1;;Potentilla anserina subsp. anserina;
