verbatim;parent;edited
Mahonia x decumbens Stace;Mahonia aquifolium;Mahonia × decumbens Stace
Mahonia x decumbens Stace;Mahonia repens;Mahonia × decumbens Stace
Malus x purpurea (E. Barbier) Rehder;Malus atrosanguinea;Malus × purpurea (E. Barbier) Rehder
Malus x purpurea (E. Barbier) Rehder;Malus niedzwetskyana;Malus × purpurea (E. Barbier) Rehder
Mentha x gracilis Sole;Mentha arvensis;Mentha × gracilis Sole
Mentha x gracilis Sole;Mentha spicata;Mentha × gracilis Sole
Mentha x piperita L.;Mentha aquatica;Mentha × piperita L.
Mentha x piperita L.;Mentha spicata;Mentha × piperita L.
Mentha x rotundifolia (L.) Huds.;Mentha suaveolens;Mentha × rotundifolia (L.) Huds.
Mentha x rotundifolia (L.) Huds.;Mentha longifolia;Mentha × rotundifolia (L.) Huds.
Mentha x smithiana R.A. Graham;Mentha arvensis;Mentha × smithiana R.A. Graham
Mentha x smithiana R.A. Graham;Mentha aquatica;Mentha × smithiana R.A. Graham
Mentha x smithiana R.A. Graham;Mentha spicata;Mentha × smithiana R.A. Graham
Mentha x verticillata L.;Mentha arvensis;Mentha × verticillata L.
Mentha x verticillata L.;Mentha aquatica;Mentha × verticillata L.
Mentha x villosa Huds.;NA;Mentha × villosa Huds.
Mentha x villosa Huds.;Mentha villosa Huds.;Mentha × villosa Huds.
Mentha x villosa Huds;Mentha spicata;Mentha × villosa Huds
Mentha x villosa Huds;NA;Mentha × villosa Huds
Mentha x villosonervata Opiz;Mentha spicata;Mentha × villosonervata Opiz
Mentha x villosonervata Opiz;Mentha longifolia;Mentha × villosonervata Opiz
Mimulus guttatus x luteus x cupreus;Mimulus guttatus;Mimulus guttatus × luteus × cupreus
Mimulus guttatus x luteus x cupreus;Mimulus luteus;Mimulus guttatus × luteus × cupreus
Mimulus guttatus x luteus x cupreus;Mimulus cupreus;Mimulus guttatus × luteus × cupreus
Mimulus x burnetii S. Arn.;Mimulus guttatus;Mimulus × burnetii S. Arn.
Mimulus x burnetii S. Arn.;Mimulus cupreus;Mimulus × burnetii S. Arn.
Mimulus x maculosus T. Moore;Mimulus luteus;Mimulus × maculosus T. Moore
Mimulus x maculosus T. Moore;Mimulus cupreus;Mimulus × maculosus T. Moore
Mimulus x robertsii Silverside;Mimulus guttatus;Mimulus × robertsii Silverside
Mimulus x robertsii Silverside;Mimulus luteus;Mimulus × robertsii Silverside
Narcissus x incomparabilis Mill.;Narcissus poeticus;Narcissus × incomparabilis Mill.
Narcissus x incomparabilis Mill.;Narcissus pseudonarcissus;Narcissus × incomparabilis Mill.
Narcissus x medioluteus Mill.;Narcissus tazetta;Narcissus × medioluteus Mill.
Narcissus x medioluteus Mill.;Narcissus poeticus;Narcissus × medioluteus Mill.
Narcissus x monochromus P.D. Sell;Narcissus pseudonarcissus;Narcissus × monochromus P.D. Sell
Narcissus x monochromus P.D. Sell;Narcissus cyclamineus;Narcissus × monochromus P.D. Sell
Narcissus x odorus L.;Narcissus pseudonarcissus;Narcissus × odorus L.
Narcissus x odorus L.;Narcissus jonquilla;Narcissus × odorus L.
Nepeta x faassenii Bergmans ex Stearn;Nepeta nepetella;Nepeta × faassenii Bergmans ex Stearn
Nepeta x faassenii Bergmans ex Stearn;Nepeta racemosa;Nepeta × faassenii Bergmans ex Stearn
Nicotiana x sanderae W. Watson;Nicotiana alata;Nicotiana × sanderae W. Watson
Nicotiana x sanderae W. Watson;Nicotiana forgetiana;Nicotiana × sanderae W. Watson
Nothofagus nervosa x obliqua;Nothofagus nervosa;Nothofagus nervosa × obliqua
Nothofagus nervosa x obliqua;Nothofagus obliqua;Nothofagus nervosa × obliqua
Oenothera biennis x cambrica;Oenothera biennis;Oenothera biennis × cambrica
Oenothera biennis x cambrica;Oenothera cambrica;Oenothera biennis × cambrica
Oenothera x britannica Rostanski;Oenothera glazioviana;Oenothera × britannica Rostanski
Oenothera x britannica Rostanski;Oenothera cambrica;Oenothera × britannica Rostanski
Oenothera x fallax Renner;Oenothera glazioviana;Oenothera × fallax Renner
Oenothera x fallax Renner;Oenothera biennis;Oenothera × fallax Renner
Olearia x haastii Hook. f.;Olearia avicenniifolia;Olearia × haastii Hook. f.
Olearia x haastii Hook. f.;Olearia moschata;Olearia × haastii Hook. f.
Papaver x hungaricum Borbás;Papaver rhoeas;Papaver × hungaricum Borbás
Papaver x hungaricum Borbás;Papaver dubium;Papaver × hungaricum Borbás
Petunia x hybrida (Hook.) Vilm.;Petunia axillaris;Petunia × hybrida (Hook.) Vilm.
Petunia x hybrida (Hook.) Vilm.;Petunia integrifolia;Petunia × hybrida (Hook.) Vilm.
Philadelphus x virginalis Rehder;Philadelphus coronarius;Philadelphus × virginalis Rehder
Philadelphus x virginalis Rehder;Philadelphus microphyllus;Philadelphus × virginalis Rehder
Philadelphus x virginalis Rehder;Philadelphus pubescens;Philadelphus × virginalis Rehder
Pilosella x floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella caespitosa;Pilosella × floribunda (Wimm. & Grab.) Arv.-Touv.
Pilosella x floribunda (Wimm. & Grab.) Arv.-Touv.;Pilosella lactucella;Pilosella × floribunda (Wimm. & Grab.) Arv.-Touv.
Pilosella x stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella officinarum;Pilosella × stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.
Pilosella x stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.;Pilosella aurantiaca;Pilosella × stoloniflora (Waldst. & Kit.) F.W. Schultz & Sch. Bip.
Platanus x hispanica Mill. ex Münchh.;Platanus occidentalis;Platanus × hispanica Mill. ex Münchh.
Platanus x hispanica Mill. ex Münchh.;Platanus orientalis;Platanus × hispanica Mill. ex Münchh.
Poa x jemtlandica (Almq.) K. Richt.;Poa flexuosa;Poa × jemtlandica (Almq.) K. Richt.
Poa x jemtlandica (Almq.) K. Richt.;Poa alpina;Poa × jemtlandica (Almq.) K. Richt.
Polygonatum x hybridum Brügger;Polygonatum multiflorum;Polygonatum × hybridum Brügger
Polygonatum x hybridum Brügger;Polygonatum odoratum;Polygonatum × hybridum Brügger
Populus x canescens (Aiton) Sm.;NA;Populus × canescens (Aiton) Sm.
Populus x canescens (Aiton) Sm.;Populus tremula;Populus × canescens (Aiton) Sm.
Populus x berolinensis (K. Koch) Dippel;Populus nigra;Populus × berolinensis (K. Koch) Dippel
Populus x berolinensis (K. Koch) Dippel;Populus laurifolia;Populus × berolinensis (K. Koch) Dippel
Populus x canadensis Moench;Populus nigra;Populus × canadensis Moench
Populus x canadensis Moench;Populus deltoides;Populus × canadensis Moench
Populus x generosa A. Henry;Populus trichocarpa;Populus × generosa A. Henry
Populus x generosa A. Henry;Populus deltoides;Populus × generosa A. Henry
Populus x jackii Sarg.;Populus balsamifera;Populus × jackii Sarg.
Populus x jackii Sarg.;Populus deltoides;Populus × jackii Sarg.
Populus x jackii x P. nigra;NA;Populus × jackii × P. nigra
Populus x jackii x P. nigra;Populus jackii;Populus × jackii × P. nigra
Populus x jackii x P. nigra;Populus nigra;Populus × jackii × P. nigra
Prunella x intermedia Link;Prunella vulgaris;Prunella × intermedia Link
Prunella x intermedia Link;Prunella laciniata;Prunella × intermedia Link
Prunus x fruticans Weihe;Prunus spinosa;Prunus × fruticans Weihe
Prunus x fruticans Weihe;Prunus domestica;Prunus × fruticans Weihe
Qercus x crenata Lam.;Quercus cerris;Qercus × crenata Lam.
Qercus x crenata Lam.;Qercus suber;Qercus × crenata Lam.
Quercus cerris x robur;Quercus cerris;Quercus cerris × robur
Quercus cerris x robur;Quercus robur;Quercus cerris × robur
Raphanus x micranthus (Uechtr.) O.E. Schulz;Raphanus raphanistrum;Raphanus × micranthus (Uechtr.) O.E. Schulz
