id;verbatim;parent;parent_taxonID;edited
urn:lsid:ipni.org:names:77094423-1;Senecio × helwingii Beger ex Hegi;Senecio vernalis Waldst. & Kit.;urn:lsid:ipni.org:names:248179-1;Senecio × helwingii Beger ex Hegi
urn:lsid:ipni.org:names:77094511-1;Rosa × medioccidentis W.H.Lewis;Rosa arkansana Porter;urn:lsid:ipni.org:names:731647-1;Rosa × medioccidentis W.H.Lewis
urn:lsid:ipni.org:names:77094511-1;Rosa × medioccidentis W.H.Lewis;Rosa carolina L.;urn:lsid:ipni.org:names:731982-1;Rosa × medioccidentis W.H.Lewis
urn:lsid:ipni.org:names:77094512-1;Rosa × novae-angliae W.H.Lewis;Rosa virginiana Mill.;urn:lsid:ipni.org:names:734684-1;Rosa × novae-angliae W.H.Lewis
urn:lsid:ipni.org:names:77094512-1;Rosa × novae-angliae W.H.Lewis;Rosa carolina L.;urn:lsid:ipni.org:names:731982-1;Rosa × novae-angliae W.H.Lewis
urn:lsid:ipni.org:names:77094701-1;Narcissus × perezlarae Font Quer;NA;NA;Narcissus × perezlarae Font Quer
urn:lsid:ipni.org:names:77095069-1;Ophrys × maimonensis F.M.Vázquez;Ophrys incubacea Bianca ex Tod.;urn:lsid:ipni.org:names:647940-1;Ophrys × maimonensis F.M.Vázquez
urn:lsid:ipni.org:names:77095069-1;Ophrys × maimonensis F.M.Vázquez;Ophrys picta Link;urn:lsid:ipni.org:names:648057-1;Ophrys × maimonensis F.M.Vázquez
urn:lsid:ipni.org:names:77095070-1;Ophrys braun-blanquetiana nothosubsp. perceiana F.M.Vázquez & R.Lorenz;Ophrys incubacea Bianca ex Tod.;urn:lsid:ipni.org:names:647940-1;Ophrys braun-blanquetiana nothosubsp. perceiana F.M.Vázquez & R.Lorenz
urn:lsid:ipni.org:names:77095070-1;Ophrys braun-blanquetiana nothosubsp. perceiana F.M.Vázquez & R.Lorenz;Ophrys fusca Link subsp. clara (F.M.Vázquez & S.Ramos) F.M.Vázquez;urn:lsid:ipni.org:names:77095067-1;Ophrys braun-blanquetiana nothosubsp. perceiana F.M.Vázquez & R.Lorenz
urn:lsid:ipni.org:names:77095160-1;× Hadrocattleya ericoi V.P.Castro;Hadrolaelia praestans (Rchb.f.) Chiron & V.P.Castro;urn:lsid:ipni.org:names:1161151-2;× Hadrocattleya ericoi V.P.Castro
urn:lsid:ipni.org:names:77095160-1;× Hadrocattleya ericoi V.P.Castro;Cattleya warneri T.Moore ex R.Warner;urn:lsid:ipni.org:names:622280-1;× Hadrocattleya ericoi V.P.Castro
urn:lsid:ipni.org:names:77095193-1;Bryophyllum × lokarana (Desc.) V.V.Byalt;NA;NA;Bryophyllum × lokarana (Desc.) V.V.Byalt
urn:lsid:ipni.org:names:77095196-1;Bryophyllum × rechingeri (Raym.-Hamet ex Rauh & Hebding) V.V.Byalt;NA;NA;Bryophyllum × rechingeri (Raym.-Hamet ex Rauh & Hebding) V.V.Byalt
urn:lsid:ipni.org:names:77095208-1;Bromus × robustus H.Scholz;Bromus hordeaceus L.;urn:lsid:ipni.org:names:30016331-2;Bromus × robustus H.Scholz
urn:lsid:ipni.org:names:77095208-1;Bromus × robustus H.Scholz;Bromus commutatus Schrad.;urn:lsid:ipni.org:names:393635-1;Bromus × robustus H.Scholz
urn:lsid:ipni.org:names:77095282-1;Kunzea × rosea (Turcz.) Govaerts;NA;NA;Kunzea × rosea (Turcz.) Govaerts
urn:lsid:ipni.org:names:77095399-1;Salicornia × tashkensis Akhani;Salicornia persica Akhani subsp. persica;urn:lsid:ipni.org:names:77095398-1;Salicornia × tashkensis Akhani
urn:lsid:ipni.org:names:77095399-1;Salicornia × tashkensis Akhani;Salicornia iranica Akhani;urn:lsid:ipni.org:names:77095394-1;Salicornia × tashkensis Akhani
urn:lsid:ipni.org:names:77095464-1;Lavatera × columbretensis Juan & M.B.Crespo;Lavatera mauritanica Durieu subsp. davaei (Cout.) Cout.;urn:lsid:ipni.org:names:77095463-1;Lavatera × columbretensis Juan & M.B.Crespo
urn:lsid:ipni.org:names:77095464-1;Lavatera × columbretensis Juan & M.B.Crespo;Lavatera arborea L.;urn:lsid:ipni.org:names:561177-1;Lavatera × columbretensis Juan & M.B.Crespo
urn:lsid:ipni.org:names:77095465-1;Centaurea adulterina nothosubsp. numantina (A.Segura) Mateo & M.B.Crespo;NA;NA;Centaurea adulterina nothosubsp. numantina (A.Segura) Mateo & M.B.Crespo
urn:lsid:ipni.org:names:77095466-1;Centaurea × pinillosii Mateo & M.B.Crespo;Centaurea hyssopifolia Vahl;urn:lsid:ipni.org:names:190692-1;Centaurea × pinillosii Mateo & M.B.Crespo
urn:lsid:ipni.org:names:77095466-1;Centaurea × pinillosii Mateo & M.B.Crespo;Centaurea aspera L.;urn:lsid:ipni.org:names:189935-1;Centaurea × pinillosii Mateo & M.B.Crespo
urn:lsid:ipni.org:names:77095467-1;Centaurea × castellano-manchensis Mateo & M.B.Crespo;Centaurea melitensis L.;urn:lsid:ipni.org:names:190991-1;Centaurea × castellano-manchensis Mateo & M.B.Crespo
urn:lsid:ipni.org:names:77095467-1;Centaurea × castellano-manchensis Mateo & M.B.Crespo;Centaurea paniculata L. subsp. castellana (Boiss. & Reut.) Dostál;urn:lsid:ipni.org:names:876930-1;Centaurea × castellano-manchensis Mateo & M.B.Crespo
urn:lsid:ipni.org:names:77095468-1;Centaurea × soriana A.Segura ex Mateo & M.B.Crespo;Centaurea alba L.;urn:lsid:ipni.org:names:189825-1;Centaurea × soriana A.Segura ex Mateo & M.B.Crespo
urn:lsid:ipni.org:names:77095468-1;Centaurea × soriana A.Segura ex Mateo & M.B.Crespo;Centaurea paniculata L. subsp. castellana (Boiss. & Reut.) Dostál;urn:lsid:ipni.org:names:876930-1;Centaurea × soriana A.Segura ex Mateo & M.B.Crespo
urn:lsid:ipni.org:names:77095469-1;Centaurea × subdecurrens nothosubsp. segobricensis (Pau) Mateo & M.B.Crespo;NA;NA;Centaurea × subdecurrens nothosubsp. segobricensis (Pau) Mateo & M.B.Crespo
urn:lsid:ipni.org:names:77095677-1;Cattleya × wetmorei (Ruschi) Fraga & A.P.Fontana;Cattleya pumila Hook.;urn:lsid:ipni.org:names:622205-1;Cattleya × wetmorei (Ruschi) Fraga & A.P.Fontana
urn:lsid:ipni.org:names:77095677-1;Cattleya × wetmorei (Ruschi) Fraga & A.P.Fontana;Cattleya xanthina (Lindl.) Van den Berg;urn:lsid:ipni.org:names:60448132-2;Cattleya × wetmorei (Ruschi) Fraga & A.P.Fontana
urn:lsid:ipni.org:names:77095857-1;× Cephalorchis sussana F.M.Vázquez;Orchis × langei K.Richt.;urn:lsid:ipni.org:names:648790-1;× Cephalorchis sussana F.M.Vázquez
urn:lsid:ipni.org:names:77095857-1;× Cephalorchis sussana F.M.Vázquez;Cephalanthera longifolia (L.) Fritsch;urn:lsid:ipni.org:names:622389-1;× Cephalorchis sussana F.M.Vázquez
urn:lsid:ipni.org:names:77095863-1;× Orchinea attica (Hausskn.) F.M.Vázquez;NA;NA;× Orchinea attica (Hausskn.) F.M.Vázquez
urn:lsid:ipni.org:names:77095864-1;× Orchinea razzarae (Galesi) F.M.Vázquez;NA;NA;× Orchinea razzarae (Galesi) F.M.Vázquez
urn:lsid:ipni.org:names:77096019-1;Salvia × tunica-mariae Fern.Alonso;Salvia rubescens Kunth;urn:lsid:ipni.org:names:457145-1;Salvia × tunica-mariae Fern.Alonso
urn:lsid:ipni.org:names:77096019-1;Salvia × tunica-mariae Fern.Alonso;Salvia chicamochae J.R.I.Wood & Harley;urn:lsid:ipni.org:names:284560-2;Salvia × tunica-mariae Fern.Alonso
urn:lsid:ipni.org:names:77096023-1;Salvia × nariniensis Fern.Alonso;Salvia scutellarioides Kunth;urn:lsid:ipni.org:names:457216-1;Salvia × nariniensis Fern.Alonso
urn:lsid:ipni.org:names:77096023-1;Salvia × nariniensis Fern.Alonso;Salvia sagittata Ruiz & Pav.;urn:lsid:ipni.org:names:457173-1;Salvia × nariniensis Fern.Alonso
urn:lsid:ipni.org:names:77096142-1;Crataegus × bornmuelleri Zabel ex K.I.Chr. & Ziel.;Crataegus orientalis (Mill.) M.Bieb.;urn:lsid:ipni.org:names:723901-1;Crataegus × bornmuelleri Zabel ex K.I.Chr. & Ziel.
urn:lsid:ipni.org:names:77096142-1;Crataegus × bornmuelleri Zabel ex K.I.Chr. & Ziel.;Crataegus tanacetifolia Pers.;urn:lsid:ipni.org:names:724351-1;Crataegus × bornmuelleri Zabel ex K.I.Chr. & Ziel.
