verbatim;parent;edited
Ilex ×altaclerensis;Ilex perado;Ilex × altaclerensis
Amaranthus × budensis;Amaranthus blitum var. blitum;Amaranthus × budensis
Potentilla polyjosephiana;Potentilla polyphylla;Potentilla polyjosephiana
Cyclosorus ×kumaunicus;Cyclosorus aridus;Cyclosorus × kumaunicus
Cyclosorus ×gorkhalensis;Cyclosorus aridus;Cyclosorus × gorkhalensis
Pseudophegopteris ×kashmiriana;Pseudophegopteris levingei;Pseudophegopteris × kashmiriana
Sagittaria ×lunata;Sagittaria natans;Sagittaria × lunata
Cyclosorus ×inexspectatus;Cyclosorus dentatus;Cyclosorus × inexspectatus
Cyclosorus ×linii;Cyclosorus dentatus;Cyclosorus × linii
Cyclosorus ×jaculodentatus;Cyclosorus dentatus;Cyclosorus × jaculodentatus
Cyclosorus ×nareshii;Cyclosorus dentatus;Cyclosorus × nareshii
Cyclosorus ×nepalensis;Cyclosorus dentatus;Cyclosorus × nepalensis
Begonia ×buimontana;Begonia palmata;Begonia × buimontana
Carex x takoensis;Carex rugulosa;Carex x takoensis
Cyclosorus ×jaculodentatus;Cyclosorus jaculosus;Cyclosorus × jaculodentatus
Cyclosorus ×inexspectatus;Cyclosorus evolutus;Cyclosorus × inexspectatus
Anthurium ferrierense;Anthurium nymphaeifolium;Anthurium ferrierense
Cistus reghaiensis;Cistus florentinus;Cistus reghaiensis
Cistus microcymosus;Cistus obtusifolius;Cistus microcymosus
Cistus strigosus;Cistus chinamadensis;Cistus strigosus
Cistus olivaceus;Cistus chinamadensis;Cistus olivaceus
Cistus ×chnoodophyllus;Cistus chinamadensis;Cistus × chnoodophyllus
Cistus ×lucasii;Cistus chinamadensis;Cistus × lucasii
Cistus ×penarcleusensis;Cistus chinamadensis;Cistus × penarcleusensis
Cistus ×picardianus;Cistus chinamadensis;Cistus × picardianus
Cistus dansereaui;Cistus inflatus;Cistus dansereaui
Cistus obtusifolius;Cistus inflatus;Cistus obtusifolius
Cistus laxus;Cistus inflatus;Cistus laxus
Cistus platysepalus;Cistus inflatus;Cistus platysepalus
Cistus daveauanus;Cistus inflatus;Cistus daveauanus
Cistus ×oblongifolius;Cistus inflatus;Cistus × oblongifolius
Cistus banaresii;Cistus palmensis;Cistus banaresii
Cistus akamantis;Cistus parviflorus;Cistus akamantis
Cistus pauranthus;Cistus parviflorus;Cistus pauranthus
Cistus skanbergii;Cistus parviflorus;Cistus skanbergii
Cistus ×cymosus;Cistus parviflorus;Cistus × cymosus
Cistus ×lenis;Cistus parviflorus;Cistus × lenis
Cistus ×mesoensis;Cistus parviflorus;Cistus × mesoensis
Cistus ×pagei;Cistus parviflorus;Cistus × pagei
Cistus ×porphyreus;Cistus parviflorus;Cistus × porphyreus
Cistus cebennensis;Cistus pouzolzii;Cistus cebennensis
Cistus ×lenis;Cistus sintenisii;Cistus × lenis
Cistus ×mesoensis;Cistus sintenisii;Cistus × mesoensis
Cyclosorus ×linii;Cyclosorus clarkei;Cyclosorus × linii
Cyclosorus ×linii;Cyclosorus clarkei;Cyclosorus × linii
Cyclosorus ×gorkhalensis;Cyclosorus clarkei;Cyclosorus × gorkhalensis
Cyclosorus ×gorkhalensis;Cyclosorus clarkei;Cyclosorus × gorkhalensis
Cyclosorus ×papilioides;Cyclosorus papilio;Cyclosorus × papilioides
Cyclosorus ×parahispidulus;Cyclosorus papilio;Cyclosorus × parahispidulus
Cyclosorus ×nareshii;Cyclosorus appendiculatus;Cyclosorus × nareshii
Cyclosorus ×nareshii;Cyclosorus appendiculatus;Cyclosorus × nareshii
Cyclosorus ×nareshii;Cyclosorus appendiculatus;Cyclosorus × nareshii
Phlomis ×ekimii;Phlomis bruguieri;Phlomis × ekimii
Phlomis ×ekimii;Phlomis capitata;Phlomis × ekimii
Huernia distincta;Huernia clavigera;Huernia distincta
Sideritis ×edetana;Sideritis sericea;Sideritis × edetana
×Orbelia barklyi;Orbea namaquensis;× Orbelia barklyi
×Orbelia barklyi;Stapelia pulvinata;× Orbelia barklyi
×Staparesia meintjesii;Tavaresia barklyi;× Staparesia meintjesii
Citrus junos;Citrus cavaleriei;Citrus junos
Eucalyptus erythrandra;Eucalyptus incrassata;Eucalyptus erythrandra
Platanthera ×correllii;Platanthera aquilonis;Platanthera × correllii
Tylecodon ×fergusoniae;Tylecodon cacalioides;Tylecodon × fergusoniae
Sigmatostalix luerorum;Sigmatostalix morganii;Sigmatostalix luerorum
Sigmatostalix luerorum;Sigmatostalix picta;Sigmatostalix luerorum
Elymus pinalenoensis;Elymus arizonicus;Elymus pinalenoensis
Elymus ×nothus;Elymus dentatus;Elymus × nothus
Elymus ×spurius;Elymus dentatus;Elymus × spurius
Elymus ×nothus;Elymus fedtschenkoi;Elymus × nothus
Elymus ×spurius;Elymus ×russellii;Elymus × spurius
Guzmania amoena;Guzmania kraenzliniana;Guzmania amoena
Crocus × paulineae;Crocus abantensis;Crocus × paulineae
Alsophila ×fagildei;Alsophila minor;Alsophila × fagildei
Carex ×acutangula;Carex salina;Carex × acutangula
Atriplex ×neomexicana;Atriplex cuneata;Atriplex × neomexicana
Myriopteris ×fibrillosa;Myriopteris covillei;Myriopteris × fibrillosa
Myriopteris ×parishii;Myriopteris covillei;Myriopteris × parishii
Alsophila ×fagildei;Alsophila woodwardioides;Alsophila × fagildei
Ambrosia platyspina;Ambrosia salsola;Ambrosia platyspina
Pilosella ×byzantina;Pilosella pseudopilosella;Pilosella × byzantina
Polystichum ×saltum;Polystichum wilsonii;Polystichum × saltum
Galactites ×rigualii;Galactites duriaei;Galactites × rigualii
Isoëtes carltaylori;Isoetes acadiensis;Isoëtes carltaylori
Isoëtes michinokuana;Isoëtes pseudojaponica;Isoëtes michinokuana
Polystichum ×saltum;Polystichum transvaalense;Polystichum × saltum
Asimina ×nashii;Asimina speciosa;Asimina × nashii
Cyclosorus ×wildemanii;Cyclosorus afrus;Cyclosorus × wildemanii
Cyclosorus ×varievenulosus;Cyclosorus afrus;Cyclosorus × varievenulosus
Cyclosorus ×varievenulosus;Cyclosorus hispidulus;Cyclosorus × varievenulosus
Cyclosorus ×varievenulosus;Cyclosorus hispidulus;Cyclosorus × varievenulosus
Cyclosorus ×kumaunicus;Cyclosorus procerus;Cyclosorus × kumaunicus
Cyclosorus ×papilioides;Cyclosorus procerus;Cyclosorus × papilioides
Cyclosorus ×parahispidulus;Cyclosorus procerus;Cyclosorus × parahispidulus
Myriopteris ×fibrillosa;Myriopteris newberryi;Myriopteris × fibrillosa
Myriopteris ×parishii;Myriopteris parryi;Myriopteris × parishii
Potentilla × pantotricha;Potentilla gorokana;Potentilla × pantotricha
Convolvulus ×turcicus;Convolvulus holosericeus;Convolvulus × turcicus
Convolvulus ×turcicus;Convolvulus compactus;Convolvulus × turcicus
Onosma ×hybrida;Onosma lineariloba;Onosma × hybrida
Cistus microcymosus;Cistus hybridus;Cistus microcymosus
Hylotelephium furusei;Hylotelephium cauticola;Hylotelephium furusei
Stapelia meintjesii;Stapelia gettliffei;Stapelia meintjesii
×Staparesia meintjesii;Stapelia gettliffei;× Staparesia meintjesii
Cistus ×crumleyae;Cistus ochreatus;Cistus × crumleyae
Cistus ×glaucifolius;Cistus ochreatus;Cistus × glaucifolius
Cistus ×oxyphyllus;Cistus ochreatus;Cistus × oxyphyllus
Potentilla × pantotricha;Potentilla philippinensis;Potentilla × pantotricha
Onosma ×hybrida;Onosma stenoloba;Onosma × hybrida
Tilia × euchlora;Tilia dasystyla subsp. dasystyla;Tilia × euchlora
Calypso bulbosa nothovar. kostiukiae;Calypso bulbosa var. americana;Calypso bulbosa nothovar. kostiukiae
