key;accepted;kingdom;scientificName;speciesKey;taxonID
108890804;NA;NA;Centropyge eibli × vrolikii;NA;NA
108890807;NA;NA;Centropyge flavissimus × vrolikii sec.  Pyle & Randall 1994;NA;NA
108890808;NA;NA;Centropyge flavissimus × vrolikii;NA;NA
108890811;NA;NA;Centropyge loriculus × potteri sec.  Pyle & Randall 1994;NA;NA
108890812;NA;NA;Centropyge loriculus × potteri;NA;NA
108890815;NA;NA;Centropyge multifasciatus × venustus sec.  Pyle & Randall 1994;NA;NA
108890816;NA;NA;Centropyge multifasciatus × venustus;NA;NA
108890830;NA;NA;Holacanthus bermudensis × ciliaris sec.  Pyle & Randall 1994;NA;NA
108890831;Holacanthus bermudensis × ciliaris;NA;Holacanthus isabelita × ciliaris;NA;NA
108890832;NA;NA;Holacanthus bermudensis × ciliaris;NA;NA
108891309;NA;NA;Apolemichthys trimaculatus × xanthurus sec.  Pyle 2003;NA;NA
108891310;Apolemichthys trimaculatus × xanthurus;NA;Apolemichthys armitagei Smith, 1955 [=Apolemichthys × Apolemichthys trimaculatus × xanthurus Pyle & Randall, 1994];NA;NA
108891311;NA;NA;Apolemichthys trimaculatus × xanthurus;NA;NA
108891349;NA;NA;Centropyge (Centropyge) eibli × flavissimus sec.  Pyle 2003;NA;NA
108891350;NA;NA;Centropyge (Centropyge) eibli × flavissimus;NA;NA
108891351;NA;NA;Centropyge (Centropyge) eibli × flavissimus;NA;NA
108891352;NA;NA;Centropyge (Centropyge) eibli × vrolikii sec.  Pyle 2003;NA;NA
108891353;NA;NA;Centropyge (Centropyge) eibli × vrolikii;NA;NA
108891354;NA;NA;Centropyge (Centropyge) eibli × vrolikii;NA;NA
108891378;NA;NA;Centropyge (Centropyge) flavissima × vrolikii sec.  Pyle 2003;NA;NA
108891379;NA;NA;Centropyge (Centropyge) flavissima × vrolikii;NA;NA
108891380;NA;NA;Centropyge (Centropyge) flavissima × vrolikii;NA;NA
108891400;NA;NA;Centropyge (Centropyge) loricula × potteri sec.  Pyle 2003;NA;NA
108891401;NA;NA;Centropyge (Centropyge) loricula × potteri;NA;NA
108891402;NA;NA;Centropyge (Centropyge) loricula × potteri;NA;NA
108891445;NA;NA;Centropyge (Paracentropyge) multifasciata × venusta sec.  Pyle 2003;NA;NA
108891446;NA;NA;Centropyge (Paracentropyge) multifasciata × venusta;NA;NA
108891447;NA;NA;Centropyge (Paracentropyge) multifasciata × venusta;NA;NA
108891575;NA;NA;Holacanthus (Holacanthus) bermudensis × ciliaris sec.  Pyle 2003;NA;NA
